Pattern,issue,output
PS_NEG_AUX_VERB,"Question: """""" Hi guys, what is the next step after [<-LINK->] ? deep net for classification, prediction, sentiment analysis, yes but how to ? Only available examples do it by using already separated positive/negative data. Can't we use google Word2Vec file (1.5Go) to do that ? """"""
Answer: ","The sentence """"""  Can't we use google Word2Vec file (1.5Go) to do that ? """""" uses <pattern>can't .. VB</pattern> but this is just a rhetorical question instead of describing the error or undesired behavior, so the answer is NO."
PS_VERB_ERROR,"Question: """""" Hi everyone, does anyone know how to get the mat-error and mat-hit animations? I have made a custom the mat-error and mat-hint like elements and would like to animate them exactly as in material. Thank you. """"""
Answer: ","The sentence """"""  does anyone know how to get the mat-error and mat-hit animations? """""" uses <pattern>get the mat-error</pattern> but this pattern is in the ""how-to"" question, it is only the user's expectation instead of describing the error or undesired behavior, so the answer is NO."
PS_PROBLEM,"Question: """""" Question about Observables: If I have Observable A, and things are subscribed to it, is there a way to take Observable B and merge it into A so that all of As subscriptions are notified of the elements in B? """"""
Answer: ","The sentence """""" Question about Observables: """""" uses <pattern>question about sth</pattern> but after the semi-colon, it is only an example to describe the user's expectation instead of describing the error or undesired behavior, so the answer is NO."
PS_NEG_ADV_ADJ,"Question: """""" Any idea on how to provider a service to two different lazy loaded modules in the best way? It is funny in some places (stackeroverflow) guys are saying that having services in a shared module is bad practice and others say it is the right way :D """"""
Answer: ","The sentence """""" It is funny in some places (stackeroverflow) guys are saying that having services in a shared module is bad practice and others say it is the right way :D """""" uses <pattern>sth is bad practice</pattern> but it is said by some other guys, not represents the user's point, so the answer is NO."
PS_NEG_VERB,"Question: """""" Are there performance gains to be had by breaking up a medium size component template into many smaller components w/ inputs for their relevant pieces of data? I understand the organizational benefits of having small, laser-focused components, I'm just on the fence about how granular I should be getting. """"""
Answer: ","The sentence """""" Are there performance gains to be had by breaking up a medium size component template into many smaller components w/ inputs for their relevant pieces of data? """""" uses an undesired verb phrase <pattern>breaking up sth</pattern> but ""breaking up a medium size component"" is the intention of the user, not the error or undesired behavior, so the answer is NO."
PS_NEG_AUX_ADV_ADJ,"Question: """""" I'm buying bitcoin from someone via Localbitcoin, my aim is like@Swinks95, I want to leave the ether I get in for a while, maybe a  couple of years/months, not sure yet. I was going to change the bitcoin I buy to ether via shapeshift.io. do you know if that  site is reliable? I have solarpanels on my roof!! Haha maybe I'll wait till some point in the future if  it's not so rewarding """"""
Answer: ","The sentence """""" maybe a  couple of years/months, not sure yet """""" uses <pattern>not sure</pattern> but it has nothing to do with describing the error or undesired behavior, so the answer is NO."
PS_ONLY,"Question: """""" Does anyone know of a way to determine if a type could also refer to a value?  That is, if the type is of a Class, then do one conditional type branch, and if it is only an Interface or primitive then it will use the other branch. """"""
Answer: ","The sentence """""" and if it is only an Interface or primitive then it will use the other branch """""" uses <pattern>if it is only</pattern> to describe one condition of the example instead of describing the error or undesired behavior, so the answer is NO."
PS_NO_NOUN,"Question: """""" Anyone could shared some lights on config dp4j run on GPU with sbt? I see the document here: [<-LINK->] It says I should change <nd4j.backend>nd4j-native-platform</nd4j.backend> under the properties in POM.xml. So no configuration is needed? """"""
Answer: ","The sentence """""" So no configuration is needed? """""" uses <pattern>no NN is needed</pattern> but it has nothing to do with describing the error or undesired behavior, so the answer is NO."
PS_PROBLEM_IS,"Question: """""" Hi guys. How can I use Docker with Angular CLI? I want to be able to build my app and push it to a production docker container that is serving nginx as well. So the problem is, I want to build a dist folder in the docker container, and during development I would be able to watch the folder and serve the webapp. Anyone could provide some guidance on how I could do this? """"""
Answer: ","The sentence """""" So the problem is """""" uses <pattern>the problem is</pattern> but the following contents are the user's expectation instead of describing the error or undesired behavior, so the answer is NO."
PS_VERB_NO,"Question: """""" Hi, is there any way to detect no router change? I mean situation when user click the same routerLink he is allready in i would like to implement some monkeyPatch for forcing angular 4 router to reinitialize route """"""
Answer: ","The sentence """"""  is there any way to detect no router change? """""" uses <pattern>detect no router change</pattern> but ""no router change"" is a noun phrase here to indicate the user's expectation instead of describing the error or undesired behavior, so the answer is NO."
PS_SEEMS_TO_NEG_VERB,"Question: """""" I'm in the middle of figuring out my own macro system lol  [<-LINK->]. it works so well for expanding macros and giving me info about each expansion. But my brain can't seem to process how to use the info to trace text ranges through the expansion. Recursion is probably fucking with my brain. There's one more layer of expansion I have to map out. I'm so immature  [<-LINK->]. I giggled at that line of code  [<-LINK->] """"""
Answer: ","The sentence """""" But my brain can't seem to process how to use the info to trace text ranges through the expansion """""" uses <pattern>can't seem to VB</pattern> but this is the user's expectation instead of describing the error or undesired behavior, so the answer is NO."
PS_WITH_NO,"Question: """""" so far, the examples related to sequences deal with texts of natural languages (with known delimiters), whereas there are other kind of sequences like DNA sequences, protein sequences with no delimiters. Can you please recommend me the closest example to my issue, to start from. """"""
Answer: ","The sentence """""" protein sequences with no delimiters """""" uses <pattern>with no NNS</pattern> but it is only used for describing the sequence example instead of describing the error or undesired behavior, so the answer is NO."
