Pattern,issue,output,3_examples,6_examples,9_examples,12_examples,15_examples
ETD_REQUIRES,"Question: """""" i need help  I'm working a project that requires having a form & a table to display d data filled in the form in a modal popup. I've created the form & d popup is working OK, but when i add the table,  everything goes blank,  will appreciate if anyone can help out """""" 
Answer: ","The sentence """""" i need help  I'm working a project that requires having a form & a table to display d data filled in the form in a modal popup """""" uses <pattern>that requires VBG</pattern> to describe the user's expectation. The answer is YES.",0,1,0,1,0
ETD_MUST,"Question: """""" Hi all, I am looking for a schedular similar to fullCalendar for angular but a pure free & opensource (must include timeline view , month, year & day view), any recommendations on it would really be of a greater help.... """""" 
Answer: ","The sentence """""" must include timeline view , month, year & day view """""" uses <pattern>must VB</pattern> to describe the user's expectation. The answer is YES.",1,1,0,0,1
ETD_WOULD_BE,"Question: """""" Hi guys. How can I use Docker with Angular CLI? I want to be able to build my app and push it to a production docker container that is serving nginx as well. So the problem is, I want to build a dist folder in the docker container, and during development I would be able to watch the folder and serve the webapp. Anyone could provide some guidance on how I could do this? """"""
Answer: ","The sentence """""" and during development I would be able to watch the folder and serve the webapp. """""" uses <pattern>would be ADJ to VB</pattern> to describe the user's expectation. The answer is YES.",0,0,0,0,1
ETD_SHOULD,"Question: """""" hey all i am using connect-multiparty package to handle file uploads but it's stated that i should remove temp files on the server? what exactly does that mean and how will i do it? arun-awnics: thank you yes i am looking at this package now and there's seems to be a lot of good comments about it. But for future reference do you know the answer to my questiona bout the server temp files? """"""
Answer: ","The sentence """""" but it's stated that i should remove temp files on the server? """""" uses <pattern>should VB</pattern> to describe the user's expectation. The answer is YES.",0,0,0,0,1
ETD_TRYING_TO,"Question: """""" Hi, I have LSTM model training it on aws GPU instances however the problem is when I use small dataset gpu utilize good but when data size gets bigger I see mostly 0% and some 70% when I run nvidia-smi, I am trying to understand the problem. do you have any idea@agibsonccc """""" 
Answer: ","The sentence """""" I am trying to understand the problem """""" uses <pattern>trying to VB</pattern> but ""understand the problem"" is too vague and does not imply the exact user's expectation, so the answer is NO.",0,1,0,0,1
ETD_GOING_TO,"Question: """""" I'm excited to get the 4.2.0 gitter client (desktop linux). Is there `a planned release date? gitlab-org/gitter/desktop!217 was recently merged which replaced gitlab-org/gitter/desktop!215 and should resolve the core dump issue I'm having with the linux client. Or is the next release going to be 5.0.0? Sweet thanks """""" 
Answer: ","The sentence """"""  Or is the next release going to be 5.0.0? """""" uses <pattern>going to VB</pattern> but it has nothing to do with the user's expectation, so the answer is NO.",0,0,0,1,0
ETD_CAN_QUESTION,"Question: """""" hey - can i get some n00b help. I have the following message ""[ts] Cannot invoke an expression whose type lacks a call signature. Type 'Action<any, any>' has no compatible call signatures."" but cant wrap my head around whats going on """""" 
Answer: ","The sentence """""" can i get some n00b help. """""" uses <pattern>can I VB</pattern> but ""get some … help"" is too vague and does not imply the exact user's expectation, so the answer is NO.",0,0,0,1,1
ETD_IMPLEMENT,"Question: """""" Hi Guys, I have deployed Angular6 prodution build in IIS, after that i am getting an error lazy load chunks failed in chrome browser, but if i do control f5 it is working Any idea why it is not loading initially """""" 
Answer: ","The sentence """""" I have deployed Angular6 prodution build in IIS """""" uses <pattern>build in sth</pattern> but here ""Angular6 prodution build"" is a noun phrase and it has nothing to do with the user's expectation, so the answer is NO.",0,0,0,0,1
ETD_NEED_TO,"Question: """""" I moved my api to be served over https, and now my angular calls all fail with XHR failed loading: OPTIONS, calls to the api with postman still work fine, do I need to do something on the browser side, or do I need something in my angular code to enable https calls? do I maybe need my own localhost certificate? """""" 
Answer: ","The sentence """""" do I need to do something on the browser side """""" uses <pattern>need to VB</pattern> but this pattern is in the interrogative sentence which means whether to ""do something"" is questionable, not the user's expectation, so the answer is NO.",0,0,1,0,0
ETD_HAVE_TO,"Question: """""" Hi guys, what do I have to do to tell TS that I got some global variable in window? I did install types by npm install --save-dev @types/jquery, editor guesses correctly that '$' is JqueryStatic, but compiler throws this error at me: [<-CODE->] What to do? I got type roots atnode_modules/@types """""" 
Answer: ","The sentence """""" what do I have to do to tell TS that I got some global variable in window? """""" uses <pattern>have to VB</pattern> but this pattern is in the Wh-question which means that it does not imply the user's expectation, so the answer is NO.",0,0,0,1,0
ETD_FOR_EXAMPLE,"Question: """""" Any idea on how to provider a service to two different lazy loaded modules in the best way? It is funny in some places (stackeroverflow) guys are saying that having services in a shared module is bad practice and others say it is the right way :D """""" 
Answer: ","The sentence """""" It is funny in some places (stackeroverflow) guys are saying that having services in a shared module is bad practice and others say it is the right way :D """""" uses an example <pattern>... saying that ... and others say ...</pattern> but this example has nothing to do with the user's expectation, so the answer is NO.",0,0,1,0,0
ETD_LOOKING_TO,"Question: """""" I'm excited to get the 4.2.0 gitter client (desktop linux). Is there `a planned release date? gitlab-org/gitter/desktop!217 was recently merged which replaced gitlab-org/gitter/desktop!215 and should resolve the core dump issue I'm having with the linux client. Or is the next release going to be 5.0.0? Sweet thanks """""" 
Answer: ","The sentence """"""  Or is the next release going to be 5.0.0? """""" uses <pattern>going to VB</pattern> but it has nothing to do with the user's expectation, so the answer is NO.",0,0,0,1,0
ETD_WANT_TO,"Question: """""" does angular2 always want to load references from the root of the app or am i configuring something wrong? """""" 
Answer: ","The sentence """""" does angular2 always want to load references from the root of the app or am i configuring something wrong? """""" uses <pattern>want to VB</pattern> but this pattern is in the interrogative sentence which means that ""load references"" is not the user's expectation, so the answer is NO.",1,0,1,0,0
ETD_HOPE,"Question: """""" Hey everyone.  I have a short question about the code example from the CNN tutorial ( [<-LINK->] ). I had a look at the mnistdatafetcher. If I understand correctly it's fetching the image as float[]. Is it correct that the image is represented by a feature vector instead of a feature matrix? How do square kernels work on that? I guess I missed something somewhere. I hope you can help. """""" 
Answer: ","The sentence """""" I hope you can help. """""" uses <pattern>I hope ...</pattern> but ""you can help"" is too vague and does not imply the exact user's expectation, so the answer is NO.",0,0,0,0,0
ETD_REQUIRES,"Question: """""" LSTM layers require quite a bit of memory, don't they? """""" 
Answer: ","The sentence """""" LSTM layers require quite a bit of memory """""" uses <pattern>sth require</pattern> to indicate the requirement of LSTM but it has nothing to do with the user's expectation, so the answer is NO.",0,0,0,0,0
ETD_MUST,"Question: """""" Can someone please shed some light on why this validation isn't working? quantity: {type: Number, min:[1, ""Quantity must be greater than 0.""]} Currently my form is letting me submit if quantity is empty """""" 
Answer: ","The sentence """""" ""Quantity must be greater than 0."" """""" uses <pattern>something must be</pattern> but this pattern is inside the quotes and it is only an error message not the user's expectation, so the answer is NO.",0,1,0,0,0
ETD_WOULD_BE,"Question: """""" Hi, I'm having a problem with following code [<-CODE->] But at the error line. mutable can be{ type : 'one', next : SomeType } If next has a type other thanSomeType, it will be OK. Also, if mutable.next is not assigned to variablemutable, it will also be OK """"""
Answer: ","The sentence """""" it will be OK """""" uses <pattern>will be JJ</pattern> but it has nothing to do with the user's expectation, so the answer is NO.",0,0,0,0,1
ETD_SHOULD,"Question: """""" I use Stripe payment system in my Angular App. Is it secure to store key in code just like shown below or it should be done in another more secure way? """""" 
Answer: ","The sentence """""" Is it secure to store key in code just like shown below or it should be done in another more secure way? """""" uses <pattern>should be done in .. way</pattern> but this pattern is in the interrogative sentence which means ""in another more secure way"" is questioable, not the user's expectation, so the answer is NO.",0,0,0,0,1
