issue,POS,ETD_sent,Pattern for ETD,predicted_ETD,Comment_ETD,y_ETD,y'_ETD,accuracy_ETD,PS_sent,Pattern for PS,predicted_PS,Comment_PS,y_PS,y'_PS,accuracy_PS,TS_sent
Hi  Do you suggest a manner to fetch data only once from the server instead of doing this every time we initialize the component? kind of caching in the service.  @Injectable() export class PersonsService {   constructor(private httpClient: HttpClient) {}      getPersons(): Observable<Person[]> {     return this.httpClient.get<Person[]>(apiEndpointPersons);   } },Hi-UH Do-VBP you-PRP suggest-VBP a-DT manner-NN to-TO fetch-VB data-NNS only-RB once-RB from-IN the-DT server-NN instead-RB of-IN doing-VBG this-DT every-DT time-NN we-PRP initialize-VBP the-DT component-NN ?-. kind-RB of-RB caching-VBG in-IN the-DT service-NN . @Injectable-NNP (--LRB- )--RRB- export-NN class-NN PersonsService-NN {--LRB- constructor-NN (--LRB- private-JJ httpClient-NN : HttpClient-NNP )--RRB- {--LRB- }--RRB- getPersons-NNS (--LRB- )--RRB- : Observable-JJ <--LRB- Person-NN [--LRB- ]--RRB- >-SYM {--LRB- return-NN this.httpClient.get-NN <--LRB- Person-NN [--LRB- ]--RRB- >-SYM (--LRB- apiEndpointPersons-NNS )--RRB- ;-: }--RRB- }--RRB-,,,"ETD_INSTEAD_OF_EXP_BEHAVIOR,",,0,1,0,,,"PS_ONLY,",,0,1,0,
"I have updated my pom file after a message that the main libraries don't have the same version. But strangely I have an error ""package org.datavec.codec.reader does not exist"". I deleted the folder ""datavec"" to be reimported (and it did after some attempts) but the message rersists. Any idea why is this happening. I have the dependency for ""org.datavec"" in pom file. My pom file is [<-LINK->]","I-PRP have-VBP updated-VBN my-PRP$ pom-NN file-NN after-IN a-DT message-NN that-IN the-DT main-JJ libraries-NNS do-VBP n't-RB have-VB the-DT same-JJ version-NN . But-CC strangely-RB I-PRP have-VBP an-DT error-NN ""-`` package-NN org.datavec.codec.reader-NN does-VBZ not-RB exist-VB ""-'' . I-PRP deleted-VBD the-DT folder-NN ""-`` datavec-NN ""-'' to-TO be-VB reimported-VBN (--LRB- and-CC it-PRP did-VBD after-IN some-DT attempts-NNS )--RRB- but-CC the-DT message-NN rersists-NNS . Any-DT idea-NN why-WRB is-VBZ this-DT happening-VBG . I-PRP have-VBP the-DT dependency-NN for-IN ""-`` org.datavec-NN ""-'' in-IN pom-NNP file-NN . My-PRP$ pom-NN file-NN is-VBZ [--LRB- <-SYM --HYPH LINK-NN --HYPH >-SYM ]--RRB- ",,,0,,0,0,1,But strangely I have an error,"PS_NEG_AUX_VERB,PS_VERB_ERROR,PS_ERROR_NOUN_PHRASE,PS_NEG_VERB,","PS_NEG_AUX_VERB,PS_VERB_ERROR,PS_ERROR_NOUN_PHRASE,PS_NEG_VERB,",,1,1,1,"I deleted the folder ""datavec"" to be reimported"
"Hi all, I have a list of Pair<String, Label> and the Google News Wordvecs, and I'd like to turn my first into a DatasetIterator in order to train a neural net - how would I go about that? I've looked at using a RecordReader but I can't find the right one for my use case...","Hi-UH all-DT , I-PRP have-VBP a-DT list-NN of-IN Pair-NN <--LRB- String-NN , Label-NN >-SYM and-CC the-DT Google-NNP News-NNP Wordvecs-NNP , and-CC I-PRP 'd-MD like-VB to-TO turn-VB my-PRP$ first-JJ into-IN a-DT DatasetIterator-NNP in-IN order-NN to-TO train-VB a-DT neural-JJ net-NN --HYPH how-NN would-MD I-PRP go-VB about-IN that-DT ?-. I-PRP 've-VBP looked-VBN at-IN using-VBG a-DT RecordReader-NN but-CC I-PRP ca-MD n't-RB find-VB the-DT right-JJ one-NN for-IN my-PRP$ use-NN case-NN ...-. ",I'd like to turn my first into a DatasetIterator in order to train a neural net,ETD_WOULD_LIKE,"ETD_IN_ORDER_FOR,ETD_WOULD_LIKE,",,1,1,1,I've looked at using a RecordReader but I can't find the right one for my use case.,"PS_NEG_AUX_VERB,","PS_NEG_AUX_VERB,",,1,1,1,I've looked at using a RecordReader
"Hey guys, can somebody explain me what it means ""uncle root"" in the whitepaper of ethereum in github? in the next sentence...""Check that the block number, difficulty, transaction root, uncle root and gas limit (various low-level Ethereum-specific concepts) are valid."" Thank you so much!","Hey-UH guys-NNS , can-MD somebody-NN explain-VB me-PRP what-WP it-PRP means-VBZ ""-`` uncle-NN root-NN ""-'' in-IN the-DT whitepaper-NN of-IN ethereum-NN in-IN github-NN ?-. in-IN the-DT next-JJ sentence-NN ...-, ""-'' Check-VB that-IN the-DT block-NN number-NN , difficulty-NN , transaction-NN root-NN , uncle-NN root-NN and-CC gas-NN limit-NN (--LRB- various-JJ low-JJ --HYPH level-NN Ethereum-NNP --HYPH specific-JJ concepts-NNS )--RRB- are-VBP valid-JJ . ""-'' Thank-VBP you-PRP so-RB much-RB !-. ",,,0,,0,0,1,,,"PS_NEG_VERB,",,0,1,0,
"Hi, I have a button and when I click on the button it should redirect to external URL and also the external URL needs to be scrolled
 <button  (click)=""clickButton()"">Click Here</button>  clickButton() {         window.open('https://www.w3schools.com', '_blank');     }
 It is redirecting, but I wanted the redirected page to scroll
 How can I acheive this?","Hi-UH , I-PRP have-VBP a-DT button-NN and-CC when-WRB I-PRP click-VBP on-IN the-DT button-NN it-PRP should-MD redirect-VB to-IN external-JJ URL-NN and-CC also-RB the-DT external-JJ URL-NN needs-VBZ to-TO be-VB scrolled-VBN <--LRB- button-NN (--LRB- click-NN )--RRB- =-SYM ""-`` clickButton-NN (--LRB- )--RRB- ""-`` >-SYM Click-VB Here-RB </button>-ADD clickButton-NN (--LRB- )--RRB- {--LRB- window.open-ADD (--LRB- '-`` https://www.w3schools.com-ADD '-'' , '-`` _-NFP blank-JJ '-'' )--RRB- ;-: }--RRB- It-PRP is-VBZ redirecting-VBG , but-CC I-PRP wanted-VBD the-DT redirected-VBN page-NN to-IN scroll-NN How-WRB can-MD I-PRP acheive-VB this-DT ?-. ","T1: It is redirecting, but I wanted the redirected page to scroll",ETD_WANT_TO,"ETD_CAN_QUESTION,ETD_NEED_TO,ETD_SHOULD,",,1,1,1," It is redirecting, but I wanted the redirected page to scroll","PS_ETD_TRY,","PS_ETD_TRY,",,1,1,1,
"Hi there! I'm running into an issue which can best be explained by the following code: [<-CODE->]  [<-CODE->] also doesn't work when using a switch-case: [<-CODE->] NaridaL: unfortunately not. My use case is somewhat like the following: [<-CODE->] return doThingsToGetX(); outputs an error because of the issue detailed above Type 'Result<""X"">' is not assignable to type 'Result<A>'. Types of property 'result' are incompatible. Type '""X""' is not assignable to type 'A'.to be precise","Hi-UH there-RB !-. I-PRP 'm-VBP running-VBG into-IN an-DT issue-NN which-WDT can-MD best-RBS be-VB explained-VBN by-IN the-DT following-VBG code-NN : [--LRB- <-SYM --HYPH CODE-NN --HYPH >-SYM ]--RRB- [--LRB- <-SYM --HYPH CODE-NN --HYPH >-SYM ]--RRB- also-RB does-VBZ n't-RB work-VB when-WRB using-VBG a-DT switch-NN --HYPH case-NN : [--LRB- <-SYM --HYPH CODE-NN --HYPH >-SYM ]--RRB- NaridaL-NN : unfortunately-RB not-RB . My-PRP$ use-NN case-NN is-VBZ somewhat-RB like-IN the-DT following-VBG : [--LRB- <-SYM --HYPH CODE-NN --HYPH >-SYM ]--RRB- return-NN doThingsToGetX-NN (--LRB- )--RRB- ;-: outputs-NNS an-DT error-NN because-IN of-IN the-DT issue-NN detailed-VBN above-IN Type-NN '-'' Result-NN <--LRB- ""-`` X-NN ""-'' >-SYM '-'' is-VBZ not-RB assignable-JJ to-TO type-VB '-`` Result-NN <A>-NN '-'' . Types-NNS of-IN property-NN '-'' result-NN '-'' are-VBP incompatible-JJ . Type-NN '-'' ""-`` X-NN ""-'' '-'' is-VBZ not-RB assignable-JJ to-TO type-VB '-`` A-NN '-'' . to-TO be-VB precise-JJ ",,,0,,0,0,1,I'm running into an issue which can best be explained by the following code: [<-CODE->]  [<-CODE->] also doesn't work when using a switch-case:,"PS_VERB_ERROR,PS_NEG_AUX_VERB,PS_NEG_AUX_ADV_ADJ,PS_NEG_ADV_ADJ,","PS_VERB_ERROR,PS_NEG_AUX_VERB,PS_NEG_AUX_ADV_ADJ,PS_NEG_ADV_ADJ,",,1,1,1,
"hi there. I am trying to use [<-LINK->] in my node js app here is my app.js [<-LINK->] i am using bable node server. In my routes, when I try to get req.fingerprint, I am getting undefined. Can anyone please help me out roychri: , It didn't show any error. It just prints as undefined roychri: , so you want me to put it on top?","hi-UH there-RB . I-PRP am-VBP trying-VBG to-TO use-VB [--LRB- <-SYM --HYPH LINK-NN --HYPH >-SYM ]--RRB- in-IN my-PRP$ node-NN js-IN app-NN here-RB is-VBZ my-PRP$ app.js-NN [--LRB- <-SYM --HYPH LINK-NN --HYPH >-SYM ]--RRB- i-PRP am-VBP using-VBG bable-JJ node-NN server-NN . In-IN my-PRP$ routes-NNS , when-WRB I-PRP try-VBP to-TO get-VB req.fingerprint-NN , I-PRP am-VBP getting-VBG undefined-JJ . Can-MD anyone-NN please-UH help-VB me-PRP out-RP roychri-NNS : , It-PRP did-VBD n't-RB show-VB any-DT error-NN . It-PRP just-RB prints-VBZ as-IN undefined-JJ roychri-NN : , so-IN you-PRP want-VBP me-PRP to-TO put-VB it-PRP on-IN top-NN ?-. ",I am trying to use [<-LINK->] in my node js app,ETD_TRYING_TO,"ETD_TRYING_TO,",,1,1,1,"when I try to get req.fingerprint, I am getting undefined","PS_NEG_ADV_ADJ,PS_VERB_ERROR,PS_NEG_AUX_VERB,","PS_NEG_ADV_ADJ,PS_VERB_ERROR,PS_NEG_AUX_VERB,",,1,1,1,
"what is wrong i this swich case ?
  <input                 type=""number""                 class=""form-control""                 formControlName=""{{ child.formControlName }}""               />                <div [ngSwitch]=""type"">                 <input                   *ngSwitchCase=""number""                   class=""form-control""                   formControlName=""{{ child.type.formControlName }}""                 />                 <ng-select                   *ngSwitchCase=""select""                   [items]=""""                   class=""text-capitalize""                   [searchable]=""true""                   formControlName=""{{ child.type.formControlName }}""                 >                 </ng-select>               </div>","what-WP is-VBZ wrong-JJ i-PRP this-DT swich-NN case-NN ?-. <input                 type=""number""                 class=""form-control""                 formControlName=""{{ child.formControlName }}""               />-ADD <--LRB- div-NN [--LRB- ngSwitch-NNP ]--RRB- =-SYM ""-`` type-NN ""-'' >-SYM <--LRB- input-NN *-SYM ngSwitchCase-NN =-SYM ""-`` number-NN ""-'' class-NN =-SYM ""-`` form-NN --HYPH control-NN ""-'' formControlName-NN =-SYM ""-`` {--LRB- {--LRB- child.type.formControlName-NN }--RRB- }--RRB- ""-`` /-, >-SYM <--LRB- ng-NN --HYPH select-JJ *-NFP ngSwitchCase-NN =-SYM ""-`` select-VB ""-'' [--LRB- items-NNS ]--RRB- =-SYM ""-'' ""-`` class-NN =-SYM ""-`` text-NN --HYPH capitalize-VB ""-`` [--LRB- searchable-NN ]--RRB- =-SYM ""-`` true-JJ ""-'' formControlName-NN =-SYM ""-`` {--LRB- {--LRB- child.type.formControlName-NN }--RRB- }--RRB- ""-`` >-SYM </ng-select>-ADD </div>-ADD ",,,0,,0,0,1,,,"PS_NEG_ADV_ADJ,",,0,1,0,
"Architecting an in-house solution for DL4J training. I'm getting ready to acquire some servers that I'm going to use to train via Apache Spark. My question is... If I scale horizontally (the more servers added), is the efficiency of training going to be linear or logarithmic? Or in other words, is network chatter across nodes going to hamper the effectiveness of training as I add more nodes? Are there other problems in the mix?","Architecting-VBG an-DT in-IN --HYPH house-NN solution-NN for-IN DL4J-NN training-NN . I-PRP 'm-VBP getting-VBG ready-JJ to-TO acquire-VB some-DT servers-NNS that-WDT I-PRP 'm-VBP going-VBG to-TO use-VB to-TO train-VB via-IN Apache-NNP Spark-NNP . My-PRP$ question-NN is-VBZ ...-, If-IN I-PRP scale-VBP horizontally-RB (--LRB- the-DT more-JJR servers-NNS added-VBN )--RRB- , is-VBZ the-DT efficiency-NN of-IN training-NN going-VBG to-TO be-VB linear-JJ or-CC logarithmic-JJ ?-. Or-CC in-IN other-JJ words-NNS , is-VBZ network-NN chatter-NN across-IN nodes-NNS going-VBG to-TO hamper-VB the-DT effectiveness-NN of-IN training-NN as-IN I-PRP add-VBP more-JJR nodes-NNS ?-. Are-VBP there-EX other-JJ problems-NNS in-IN the-DT mix-NN ?-. ",I'm getting ready to acquire some servers that I'm going to use to train via Apache Spark,ETD_GOING_TO,"ETD_GOING_TO,",,1,1,1,,,"PS_VERB_ERROR,",,0,1,0,
"I\'m having trouble with radio buttons. I have two radio buttons using the same name and [(ngModel)]=""value"". When I select a button, I get an error:angular2-polyfills.js:267 Uncaught EXCEPTION: Error during evaluation of ""change""ORIGINAL EXCEPTION: TypeError: Cannot read property \'value\' of undefinedI couldn\'t find any definitive answers for using radio buttons with ngModel.https://plnkr.co/edit/OF4Hiv0fUPiL72mRPXD0","I-PRP 'm-VBP having-VBG trouble-NN with-IN radio-NN buttons-NNS . I-PRP have-VBP two-CD radio-NN buttons-NNS using-VBG the-DT same-JJ name-NN and-CC [--LRB- (--LRB- ngModel-NNP )--RRB- ]--RRB- =-SYM ""-`` value-NN ""-'' . When-WRB I-PRP select-VBP a-DT button-NN , I-PRP get-VBP an-DT error-NN : angular2-NN --HYPH polyfills.js-NN : 267-CD Uncaught-JJ EXCEPTION-NN : Error-NN during-IN evaluation-NN of-IN ""-`` change-NN ""-'' ORIGINAL-JJ EXCEPTION-NN : TypeError-NNP : Can-MD not-RB read-VB property-NN '-'' value-NN '-'' of-IN undefinedI-NN could-MD n't-RB find-VB any-DT definitive-JJ answers-NNS for-IN using-VBG radio-NN buttons-NNS with-IN ngModel.https-NNS : /-SYM /-HYPH plnkr.co-NN /-HYPH edit-NN /-HYPH OF4Hiv0fUPiL72mRPXD0-NN ",,,0,,0,0,1,"T1: I\'m having trouble with radio buttons. T2: When I select a button, I get an error","PS_PROBLEM,PS_VERB_ERROR,PS_ERROR_NOUN_PHRASE","PS_PROBLEM,PS_VERB_ERROR,PS_NEG_AUX_VERB,PS_ERROR_NOUN_PHRASE,",,1,1,1,
"Hi everyone, is there any ""easy way"" to train the dl4j implementation of word2vec with corpuses having different minWordFrequency? The reason is simple, in one corpus I need all words to be part of the Vocab but for the other corpuses are there to provide more context and add words with higher frequency rate (at least 5).","Hi-UH everyone-NN , is-VBZ there-EX any-DT ""-`` easy-JJ way-NN ""-'' to-TO train-VB the-DT dl4j-NN implementation-NN of-IN word2vec-NN with-IN corpuses-NNS having-VBG different-JJ minWordFrequency-NN ?-. The-DT reason-NN is-VBZ simple-JJ , in-IN one-CD corpus-NN I-PRP need-VBP all-DT words-NNS to-TO be-VB part-NN of-IN the-DT Vocab-NNP but-CC for-IN the-DT other-JJ corpuses-NNS are-VBP there-EX to-TO provide-VB more-JJR context-NN and-CC add-VB words-NNS with-IN higher-JJR frequency-NN rate-NN (--LRB- at-IN least-RBS 5-CD )--RRB- . ",I need all words to be part of the Vocab,ETD_NEED_TO,"ETD_NEED_TO,",,1,1,1,,,"PS_NEG_ADV_ADJ,",,0,1,0,
