source,issue,openAI_ETD1,openAI_ETD2,openAI_ETD3,y'1,y'2,y'3,y_ETD,y''_ETD,ACC_AI_ETD
angular,"I have built an angular 11 app with routing modules. If you start the app by going to the domain url it will do the right thing and go to the ""dashboard"" path. Once there, I can use a menu with many links to click on and the app will navigate to where it should. [link] -> brings me to 'dashboard' path. But I cannot type another path in the browser address bar that is valid (and I can get to via routerlink or code anvagation) as: [code]. What am I doing wrong?","The sentence """""" But I cannot type another path in the browser address bar that is valid (and I can get to via routerlink or code anvagation) as: [code]. """""" uses <pattern>cannot VB</pattern> to indicate that the user expects to ""type another path in the browser address bar"". The answer is YES.","The sentence """""" What am I doing wrong? """""" uses <pattern>what am I doing ADJ?</pattern> to indicate that the user expects to find ""what am I doing wrong"". The answer is YES.","The sentence """""" But I cannot type another path in the browser address bar that is valid (and I can get to via routerlink or code anvagation) as: [code] """""" uses <pattern>cannot VB</pattern> to indicate that the user expects to ""type another path in the browser address bar"". The answer is YES.",0,0,0,0,0,1
angular,"is it possible to animate the parent of a list when an ngFor :enter happens? currently I have a slide-in animation for when an item gets added to the top of the stack and use transform: `translateY(-100%) -> 0%` but then you have the entire list not reacting to the addition. If I use position: relative for the animation, it could be janky. if I can react on the parent/list of the items, I could start the animation with `transform: -200px -> 0` and the it'll slide the list down as well","The sentence """""" is it possible to animate the parent of a list when an ngFor :enter happens? """""" uses <pattern>is it possible to VB</pattern> to indicate that the user expects to ""animate the parent of a list"". The answer is YES.","The sentence """""" is it possible to animate the parent of a list when an ngFor :enter happens? """""" uses <pattern>is it possible to VB</pattern> to indicate that the user expects to ""animate the parent of a list"". The answer is YES.","The sentence """""" is it possible to animate the parent of a list when an ngFor :enter happens? """""" uses <pattern>is it possible to VB</pattern> to indicate that the user expects to ""animate the parent of a list"". The answer is YES.",0,0,0,0,0,1
angular,"Hello everyone, I'm migrating from karma to jest and I need to convert: jest.spyOn(component, 'onBlur').and.callThrough(); I get this error in Jest: Property 'and' does not exist on type 'SpyInstance<void, []>'","The sentence """""" I need to convert: jest.spyOn(component, 'onBlur').and.callThrough(); """""" uses <pattern>need to VB</pattern> to indicate that the user expects to ""convert: jest.spyOn(component, 'onBlur').and.callThrough();"". The answer is YES.","The sentence """""" I need to convert: jest.spyOn(component, 'onBlur').and.callThrough(); """""" uses <pattern>need to VB</pattern> to indicate that the user expects to ""convert jest.spyOn(component, 'onBlur').and.callThrough();"". The answer is YES.","The sentence """""" I need to convert: jest.spyOn(component, 'onBlur').and.callThrough(); """""" uses <pattern>need to VB</pattern> to indicate that the user expects to ""convert: jest.spyOn(component, 'onBlur').and.callThrough()"". The answer is YES.",0,0,0,0,0,1
,"Hello, i have update my Angular 9 Project to Angular 11 and get now this error if i want start with `npm run start`. `ERROR in Cannot read property 'kind' of undefined`. On `ng build --prod` i get more details: with typescript 4.1.5 i get again this error: `ERROR in Cannot read property 'flags' of undefined`. Like show in link below. if i change `""aot"": true` to`""aot"": false` and remove `""buildOptimizer"": true,` in angular.json then i get new error: `ERROR in No NgModule metadata found for 'AppModule'. I think the problem is custom Angular builders. Thank you for you time and help","The sentence """""" i change `""aot"": true` to`""aot"": false` and remove `""buildOptimizer"": true,` in angular.json """""" uses <pattern>change sth to</pattern> to indicate that the user expects to ""change `\""aot\"": true\""` to `\""aot\"": false\""`"". The answer is YES.","The sentence """""" Like show in link below """""" uses <pattern>show in sth</pattern> to indicate that the user expects to ""show"". The answer is YES.","The sentence """""" I have update my Angular 9 Project to Angular 11 and get now this error if i want start with `npm run start`. `ERROR in Cannot read property 'kind' of undefined`. """""" uses <pattern>update sth to sth</pattern> to indicate that the user expects to ""update Angular 9 Project to Angular 11"". The answer is YES.",0,0,0,0,0,1
angular,"I have an input and an output. However if I try to connect them, the output does not work anymore: [code]. internaly, it is: [code]. Any ideas?",No sentences found to indicate the user's expectation. The answer is NO.,"The sentence """""" if I try to connect them, the output does not work anymore """""" uses <pattern>if I try to VB</pattern> to indicate that the user expects if connected, ""the output will not work anymore"". The answer is YES.","The sentence """""" Any ideas? """""" uses <pattern>any ideas</pattern> to indicate that the user expects some suggestions on how to ""connect the input and the output"". The answer is YES.",1,0,0,0,0,1
angular,Hi ! i'm trying to compare between two texts and display colored text result in a simple div or textarea (i first tried using mat-dialog) but i don't get the colors in HTML in component.ts : [code]. anyone have an idea where is the problem in my code or what to should I add please ?,"The sentence """""" i'm trying to compare between two texts and display colored text result in a simple div or textarea """""" uses <pattern>trying to VB</pattern> to indicate that the user expects to ""compare between two texts and display colored text result"". The answer is YES.","The sentence """""" i'm trying to compare between two texts and display colored text result in a simple div or textarea """""" uses <pattern>trying to VB</pattern> to indicate that the user expects to ""compare between two texts"". The answer is YES.","The sentence """""" i'm trying to compare between two texts and display colored text result in a simple div or textarea """""" uses <pattern>trying to VB</pattern> to indicate that the user expects to ""compare between two texts and display colored text result in a simple div or textarea"". The answer is YES.",0,0,0,0,0,1
,"Hey, why am unable to use the angular material? If i imports any material module, it gives errors everywhere on my code once i declare any of its components. Just errors everywhere","The sentence """""" If i imports any material module, it gives errors everywhere on my code once i declare any of its components. """""" uses <pattern>If I VB</pattern> to indicate that the user expects ""any material module"" to be imported. The answer is YES.","The sentence """""" If i imports any material module, it gives errors everywhere on my code once i declare any of its components """""" uses <pattern>once I VB</pattern> to indicate that the user expects to ""declare any of its components"". The answer is YES.","The sentence """""" If i imports any material module, it gives errors everywhere on my code once i declare any of its components. """""" uses <pattern>if I VB</pattern> to indicate that the user expects to ""use the angular material"". The answer is YES.",0,0,0,1,0,0
angular,"Hey guys, I got this error "" The pipe 'async' could not be found "" i tried everything, i check that i have the common module imported, any ideia when this error happen besides the missing common module? thanks in advance!","The sentence """""" i tried everything, i check that i have the common module imported """""" uses <pattern>tried sth</pattern> to indicate that the user expects to ""check that i have the common module imported"". The answer is YES.","The sentence """""" i check that i have the common module imported """""" uses <pattern>check that</pattern> to indicate that the user expects to ""have the common module imported"". The answer is YES.","The sentence """""" i tried everything, i check that i have the common module imported """""" uses <pattern>i check that I have sth imported</pattern> to indicate that the user expects to ""have the common module imported"". The answer is YES.",0,0,0,0,0,1
angular,"There's a form in the child component, can we give a warning to the user when the form is filled but the user is try to navigate somewhere else? User is clicking on the sidenav in the parent component. A warning like this <unconvertable>.","The sentence """""" can we give a warning to the user when the form is filled but the user is try to navigate somewhere else? """""" uses <pattern>can we VB</pattern> to indicate that the user expects to ""give a warning to the user"". The answer is YES.","The sentence """""" User is clicking on the sidenav in the parent component """""" uses <pattern>User is VBG</pattern> to indicate that the user expects the user to ""click on the sidenav"". The answer is YES.","The sentence """""" can we give a warning to the user when the form is filled but the user is try to navigate somewhere else? """""" uses <pattern>can we VB</pattern> to indicate that the user expects to ""give a warning to the user"". The answer is YES.",0,0,0,0,0,1
angular,"I have a challenge that I'd like to get yalls insight. I've received much help from here and I greatly appreciate it. Thanks in advance. I am building a web app for used car dealers. In the used car dealer world, there are many many reports and forms they are required to print. Right now, I am working on the first report: Buyers Guide. The Buyers Guide has some information regarding the vehicle. The gov provides a PDF fillable form here: (no, this is not spam). I'd like to be able to fill out the form with the data from our web app and print out the PDF. I was looking for packages and found this one. The only thing is that we want to store the report somewhere, we don't want the user to have to upload it. Additionally, I guess I just don't know how to set up this package. My question: has anyone ever done this, and if so, how?","The sentence """""" I'd like to be able to fill out the form with the data from our web app and print out the PDF """""" uses <pattern>would like to VB</pattern> to indicate that the user expects to ""fill out the form with the data from our web app and print out the PDF"". The answer is YES.","The sentence """""" I'd like to be able to fill out the form with the data from our web app and print out the PDF """""" uses <pattern>would like to VB</pattern> to indicate that the user expects to ""fill out the form with the data from our web app and print out the PDF"". The answer is YES.","The sentence """""" I'd like to be able to fill out the form with the data from our web app and print out the PDF """""" uses <pattern>want to VB</pattern> to indicate that the user expects to ""fill out the form with the data from our web app and print out the PDF"". The answer is YES.",0,0,0,0,0,1
angular,"Hello, this isn't 100% angular question, I just need to deploy Angular app with nginx alongside and express ejs app but It seems not to work, this is my nginx config : [code].","The sentence """""" I just need to deploy Angular app with nginx alongside and express ejs app """""" uses <pattern>need to VB</pattern> to indicate that the user expects to ""deploy Angular app with nginx alongside and express ejs app"". The answer is YES.","The sentence """""" I just need to deploy Angular app with nginx alongside and express ejs app """""" uses <pattern>need to VB</pattern> to indicate that the user expects to ""deploy Angular app with nginx alongside and express ejs app"". The answer is YES.","The sentence """""" I just need to deploy Angular app with nginx alongside and express ejs app """""" uses <pattern>need to VB</pattern> to indicate that the user expects to ""deploy Angular app with nginx alongside and express ejs app"". The answer is YES.",0,0,0,0,0,1
angular,"I have a REST endpoint that takes ages to run completely (it validates all active tickets on a user and each validation takes ~500ms) so I decided to output the result of the validation of each ticket. That works just fine, when running the request manually in Chrome I get a steady stream of objects in the browser. But now I want to retrieve that data in our Angular application. Any idea how I can do that? HttpClient doesn't seem to support streaming data from the server.","The sentence """""" Any idea how I can do that? """""" uses <pattern>idea how I can VB</pattern> to indicate that the user expects ""how I can do that"". The answer is YES.","The sentence """""" Any idea how I can do that? """""" uses <pattern>idea how I can VB</pattern> to indicate that the user expects to ""retrieve that data in our Angular application"". The answer is YES.","The sentence """""" But now I want to retrieve that data in our Angular application """""" uses <pattern>want to VB</pattern> to indicate that the user expects to ""retrieve that data in our Angular application"". The answer is YES.",0,0,0,0,0,1
angular,"I have xml with href to xsl from backend , how can i display this in browser [code]. window.document.write just shows text without styling","The sentence """""" how can i display this in browser """""" uses <pattern>how can I VB</pattern> to indicate that the user expects to ""display this in browser"". The answer is YES.","The sentence """""" how can i display this in browser """""" uses <pattern>how can I VB</pattern> to indicate that the user expects to ""display this in browser"". The answer is YES.","The sentence """""" how can i display this in browser """""" uses <pattern>how can I VB</pattern> to indicate that the user expects to ""display this in browser"". The answer is YES.",0,0,0,0,0,1
angular,"Hey, I have a question concerning Injectable's ProvidedIn. [code] > The @Injectable() decorator specifies that Angular can use this class in the DI system. The metadata, providedIn: 'root', means that the HeroService is visible throughout the application. What if I take that away? I thought I had to pass injectables to a component constructors to be able to use them, I'm unclear about this now","The sentence """""" I thought I had to pass injectables to a component constructors to be able to use them, I'm unclear about this now """""" uses <pattern>I thought I had to VB</pattern> to indicate that the user expects to ""pass injectables to a component constructors to be able to use them"". The answer is YES.","The sentence """""" What if I take that away? """""" uses <pattern>what if I VB</pattern> to indicate that the user expects to ""take that away"". The answer is YES.","The sentence """""" I thought I had to pass injectables to a component constructors to be able to use them, I'm unclear about this now """""" uses <pattern>thought I had to VB</pattern> to indicate that the user expects to ""pass injectables to a component constructors to be able to use them"". The answer is YES.",0,0,0,0,0,1
angular,I have a problem where the angular material breakpoints are not enough to control the appearance of my app because some mobile phones have much larger resolutions than what the breakpoints associate with handset devices. How can I fix this?,"The sentence """""" I have a problem where the angular material breakpoints are not enough to control the appearance of my app because some mobile phones have much larger resolutions than what the breakpoints associate with handset devices """""" uses <pattern>have a problem where sth is not enough to VB</pattern> to indicate that the user expects to ""control the appearance of my app"". The answer is YES.","The sentence """""" How can I fix this? """""" uses <pattern>how can I VB</pattern> to indicate that the user expects to ""fix this"". The answer is YES.","The sentence """""" How can I fix this? """""" uses <pattern>how can I VB</pattern> to indicate that the user expects to ""fix this"". The answer is YES.",0,0,0,0,0,1
angular,"why router.events,subscribe fires multiple times. i cant get only one say NavigationEnd its. I'm sending params through router state, and after navigating i want to execute search only once with params from state how to do this??","The sentence """""" i want to execute search only once with params from state how to do this?? """""" uses <pattern>want to VB</pattern> to indicate that the user expects to ""execute search only once with params from state"". The answer is YES.","The sentence """""" its. I'm sending params through router state, and after navigating i want to execute search only once with params from state how to do this?? """""" uses <pattern>want to VB</pattern> to indicate that the user expects to ""execute search only once with params from state"". The answer is YES.","The sentence """""" after navigating i want to execute search only once with params from state """""" uses <pattern>want to VB</pattern> to indicate that the user expects to ""execute search only once with params from state"". The answer is YES.",0,0,0,0,0,1
angular,I'm looking for a android mobile app - open source or commerical to search huge pdfs - i found one for IOS but couldn't find one for android. Can anyone suggest me ??? Is there is any software or template or mobile app does this for android,"The sentence """""" I'm looking for a android mobile app """""" uses <pattern>looking for sth</pattern> to indicate that the user expects ""android mobile app"". The answer is YES.","The sentence """""" I'm looking for a android mobile app - open source or commerical to search huge pdfs """""" uses <pattern>looking for sth</pattern> to indicate that the user expects ""a android mobile app to search huge pdfs"". The answer is YES.","The sentence """""" I'm looking for a android mobile app - open source or commerical to search huge pdfs """""" uses <pattern>looking for sth</pattern> to indicate that the user expects ""a android mobile app"". The answer is YES.",0,0,0,0,0,1
,"Hi Guyz, I am implementing NGRX basic demo but i am getting error in reducer part. any leads?","No sentences found to indicate the user's expectation.input: """""" I have a condition where I'm querying for all users with a specific role. However, I need to ensure that the query includes only those users who have completed a specific course. Is there a way to achieve this using Spring Data JPA? """"""output: The sentence """""" I'm querying for all users with a specific role """""" uses <pattern>querying for sth</pattern> to indicate that the user expects to ""query for all users with a specific role"". The answer is YES.",No sentences found to indicate the user's expectation. The answer is NO.,No sentences found to indicate the user's expectation. The answer is NO.,0,1,1,1,1,1
,Hello. Here is my [question] about angular testing example. I will be happy if anyone could answer me :smile:,No sentences found to indicate the user's expectation. The answer is NO.,No sentences found to indicate the user's expectation. The answer is NO.,No sentences found to indicate the user's expectation. The answer is NO.,1,1,1,1,1,1
,"Anyone knows why `this.router.navigate(['../../'], { relativeTo: this.activatedRoute })` lands always at root instead of two path segments up? Also: why is this.activatedRoute.url=""""? Oh, I guess I found out - it's bc. it is injected into a service...","The sentence """""" Anyone knows why `this.router.navigate(['../../'], { relativeTo: this.activatedRoute })` lands always at root instead of two path segments up? """""" uses <pattern>anyone knows why</pattern> to indicate that the user expects to know ""why `this.router.navigate(['../../'], { relativeTo: this.activatedRoute })` lands always at root instead of two path segments up?"". The answer is YES.","The sentence """""" Anyone knows why `this.router.navigate(['../../'], { relativeTo: this.activatedRoute })` lands always at root instead of two path segments up? """""" uses <pattern>anyone knows why</pattern> to indicate that the user expects to ""navigate two path segments up"". The answer is YES.","The sentence """""" I guess I found out - it's bc. it is injected into a service... """""" uses <pattern>I guess I found out</pattern> to indicate that the user expects to ""find out - it's bc. it is injected into a service"". The answer is YES.",0,0,0,0,0,1
angular,"Hello Angular gods, we have an autocomplete on an input (angular app), which makes an api call to our back end, problem is we make a new subscription each time the input change, is there any way to correct this ?","The sentence """""" we have an autocomplete on an input (angular app), which makes an api call to our back end, problem is we make a new subscription each time the input change, is there any way to correct this ? """""" uses <pattern>is there any way to VB</pattern> to indicate that the user expects to ""correct this"". The answer is YES.","The sentence """""" problem is we make a new subscription each time the input change """""" uses <pattern>problem is we VB</pattern> to indicate that the user expects ""not to make a new subscription each time the input change"". The answer is YES.","The sentence """""" we make a new subscription each time the input change, is there any way to correct this ? """""" uses <pattern>is there any way to VB</pattern> to indicate that the user expects to ""correct this"". The answer is YES.",0,0,0,0,0,1
angular,Hi guys i have problem with resolver and guard Should i prefetch data on guard since it the first being called? i have a guard that check if has permission to view a certain element. but when the page reloads data is gone and i need to prefetch the data,"The sentence """""" i have a guard that check if has permission to view a certain element """""" uses <pattern>have sth</pattern> to indicate that the user expects to ""have a guard that check if has permission to view a certain element"". The answer is YES.","The sentence """""" Should i prefetch data on guard since it the first being called? """""" uses <pattern>Should I VB</pattern> to indicate that the user expects to ""prefetch data on guard"". The answer is YES.","The sentence """""" i have a guard that check if has permission to view a certain element. but when the page reloads data is gone and i need to prefetch the data """""" uses <pattern>need to VB</pattern> to indicate that the user expects to ""prefetch the data"". The answer is YES.",0,0,0,0,0,1
,"Morning! I am having a bit of an issue with a nested component when running tests in a headless browser (and only then) :( I have outlined the issue, with associated code snippets over on Stack Overflow. If anyone has any ideas of what I've done wrong, please steer me in the right direction! Thanks so much :)",No sentences found to indicate the user's expectation. The answer is NO.,No sentences found to indicate the user's expectation. The answer is NO.,No sentences found to indicate the user's expectation. The answer is NO.,1,1,1,1,1,1
angular,"I need help with an issue. Basically I have two angular applications where I am including this angular library served as npm package. This library contains components with template files. There are image assets that have been refered to, from the components of library. Image assets are also included in the library project. While building this library, somehow Image assets are not getting included in the final build. Is there any one who can help me with this. I am ready to share more information on this.","The sentence """""" Image assets are also included in the library project. While building this library, somehow Image assets are not getting included in the final build. """""" uses <pattern>are not getting VBG</pattern> to indicate that the user expects ""Image assets"" to ""be included in the final build"". The answer is YES.","The sentence """""" While building this library, somehow Image assets are not getting included in the final build """""" uses <pattern>is not getting VBG</pattern> to indicate that the user expects ""Image assets"" to ""be included in the final build"". The answer is YES.","The sentence """""" Is there any one who can help me with this """""" uses <pattern>someone who can VB</pattern> to indicate that the user expects ""help with this"". The answer is YES.",0,0,0,0,0,1
,"Hi guys, I'm actually looking for some help from Currently I have started working on a new company and just realized that the project's code has so many bad practices, I have just seen that they are using Async ngOnInit() Does anyone of you have some reference that this is a bad practice so I can let them know that this is a bad practice ?","The sentence """""" just realized that the project's code has so many bad practices """""" uses <pattern>realized thatsth</pattern> to indicate that the user expects ""the project's code to have so many bad practices"". The answer is YES.","The sentence """""" I'm actually looking for some help from """""" uses <pattern>looking for sth</pattern> to indicate that the user expects ""some help"". The answer is YES.","The sentence """""" I'm actually looking for some help from Currently I have started working on a new company and just realized that the project's code has so many bad practices """""" uses <pattern>looking for sth</pattern> to indicate that the user expects ""some help from Currently I have started working on a new company and just realized that the project's code has so many bad practices"". The answer is YES.",0,0,0,0,0,1
angular,"Hi everyone, I am trying to implement a custom input and I get this error: ""NG0201: No provider for DefaultValueAccessor found in. this is how is my component: [code]. any idea?","The sentence """""" I am trying to implement a custom input """""" uses <pattern>trying to VB</pattern> to indicate that the user expects to ""implement a custom input"". The answer is YES.","The sentence """""" I am trying to implement a custom input """""" uses <pattern>trying to VB</pattern> to indicate that the user expects to ""implement a custom input"". The answer is YES.","The sentence """""" any idea? """""" uses <pattern>any idea</pattern> to indicate that the user expects ""some help"". The answer is YES.",0,0,0,0,0,1
angular,I'm using .Net Core SPA Angular. I have an external IdentityServer. How do I protect the downloading of the Angular app itself and then provide it an access token to the API after? I've searched for so long for the right answer to this. but I stiiiiiiiiiiiiiiiiiiillll haven't fouuuuuund what I'm looking fooooooor,"The sentence """""" but I stiiiiiiiiiiiiiiiiiiillll haven't fouuuuuund what I'm looking fooooooor """""" uses <pattern>still haven't found sth</pattern> to indicate that the user expects to ""find what I'm looking for"". The answer is YES.","The sentence """""" How do I protect the downloading of the Angular app itself and then provide it an access token to the API after? """""" uses <pattern>How do I VB</pattern> to indicate that the user expects to ""protect the downloading of the Angular app"". The answer is YES.","The sentence """""" I've searched for so long for the right answer to this. """""" uses <pattern>searched for sth</pattern> to indicate that the user expects ""right answer to this"". The answer is YES.",0,0,0,0,0,1
angular,"can someone help me with node.js error. on building npm run serve ERROR Failed to compile with 1 error in Module parse failed: Unexpected token (2413:45) You may need an appropriate loader to handle this file type, currently no loaders are configured to process this file.",No sentences found to indicate the user's expectation. The answer is NO.,No sentences found to indicate the user's expectation. The answer is NO.,No sentences found to indicate the user's expectation. The answer is NO.,1,1,1,0,1,0
angular,"I have a service that subscribes to an observable. The service is providedBy: 'root'. It should takeUntil service is deystroyed. I get this pattern, but does it make any difference since the singleton is being destroyed, ie. the app is closed?","The sentence """""" It should takeUntil service is deystroyed """""" uses <pattern>should VB</pattern> to indicate that the user expects ""service"" to ""takeUntil deystroyed"". The answer is YES.","The sentence """""" It should takeUntil service is deystroyed """""" uses <pattern>should VB</pattern> to indicate that the user expects the service to ""takeUntil service is deystroyed"". The answer is YES.","The sentence """""" It should takeUntil service is deystroyed. """""" uses <pattern>should VB</pattern> to indicate that the user expects the observable to ""takeUntil service is deystroyed"". The answer is YES.",0,0,0,0,0,1
angular,"Hello everyone, I apologize if this question is asked before, but is there any way I can try **tree-shakable components** out? I have read some articles here: [link] , but I think I need to wait for next release.","The sentence """""" I think I need to wait for next release """""" uses <pattern>think to VBP</pattern> to indicate that the user expects to ""wait for next release"". The answer is YES.","The sentence """""" I think I need to wait for next release. """""" uses <pattern>think to VB</pattern> to indicate that the user expects to ""wait for next release"". The answer is YES.","The sentence """""" I have read some articles here: [link] , but I think I need to wait for next release. """""" uses <pattern>need to VB</pattern> to indicate that the user expects to ""wait for next release"". The answer is YES.",0,0,0,0,0,1
angular,"hi all.. it is possible to pass a method/function via *ngTemplateOutlet which can be called in ng-template? if I pass it as context: {myMethod: componentMethod} and call it in ng-template, it doesn't work. how? let me provide an example really quick","The sentence """""" it is possible to pass a method/function via *ngTemplateOutlet which can be called in ng-template """""" uses <pattern>is it possible to VB</pattern> to indicate that the user expects to ""pass a method/function via *ngTemplateOutlet"". The answer is YES.","The sentence """""" how? let me provide an example really quick """""" uses <pattern>let me provide sth</pattern> to indicate that the user expects to ""provide an example"". The answer is YES.","The sentence """""" how? let me provide an example """""" uses <pattern>how? let me</pattern> to indicate that the user expects to ""provide an example"". The answer is YES.",0,0,0,0,0,1
