source,issue,PS1,PS2,PS3,y'1,y'2,y'3,y_PS,y''_PS,ACC_AI_PS
angular,"I have built an angular 11 app with routing modules. If you start the app by going to the domain url it will do the right thing and go to the ""dashboard"" path. Once there, I can use a menu with many links to click on and the app will navigate to where it should. [link] -> brings me to 'dashboard' path. But I cannot type another path in the browser address bar that is valid (and I can get to via routerlink or code anvagation) as: [code]. What am I doing wrong?","The sentence """""" But I cannot type another path in the browser address bar that is valid (and I can get to via routerlink or code anvagation) as: [code]. """""" uses <pattern>cannot VB</pattern> to indicate that the user is having trouble""type another path in the browser address bar"". The answer is YES.","The sentence """""" But I cannot type another path in the browser address bar that is valid (and I can get to via routerlink or code anvagation) as: [code]. """""" uses <pattern>cannot VB</pattern> to indicate that the user cannot perform some action. The answer is YES.","The sentence """""" But I cannot type another path in the browser address bar that is valid (and I can get to via routerlink or code anvagation) as: [code]. """""" uses <pattern>cannot VB</pattern> to indicate that the user is having trouble ""type another path in the browser address bar"". The answer is YES.",0,0,0,0,0,1
angular,"is it possible to animate the parent of a list when an ngFor :enter happens? currently I have a slide-in animation for when an item gets added to the top of the stack and use transform: `translateY(-100%) -> 0%` but then you have the entire list not reacting to the addition. If I use position: relative for the animation, it could be janky. if I can react on the parent/list of the items, I could start the animation with `transform: -200px -> 0` and the it'll slide the list down as well",No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1,0,1,0
angular,"Hello everyone, I'm migrating from karma to jest and I need to convert: jest.spyOn(component, 'onBlur').and.callThrough(); I get this error in Jest: Property 'and' does not exist on type 'SpyInstance<void, []>'","The sentence """""" I get this error in Jest: Property 'and' does not exist on type 'SpyInstance<void, []>' """""" uses <pattern>get this error</pattern> to indicate that ""Property 'and' does not exist on type 'SpyInstance<void, []>'"" is an undesired behavior. The answer is YES.","The sentence """""" I get this error in Jest: Property 'and' does not exist on type 'SpyInstance<void, []>' """""" uses <pattern>error</pattern> to indicate that the user is having some errors. The answer is YES.","The sentence """""" I get this error in Jest: Property 'and' does not exist on type 'SpyInstance<void, []>' """""" uses <pattern>get error VBP</pattern> to indicate that the user encounters an error. The answer is YES.",0,0,0,0,0,1
,"Hello, i have update my Angular 9 Project to Angular 11 and get now this error if i want start with `npm run start`. `ERROR in Cannot read property 'kind' of undefined`. On `ng build --prod` i get more details: with typescript 4.1.5 i get again this error: `ERROR in Cannot read property 'flags' of undefined`. Like show in link below. if i change `""aot"": true` to`""aot"": false` and remove `""buildOptimizer"": true,` in angular.json then i get new error: `ERROR in No NgModule metadata found for 'AppModule'. I think the problem is custom Angular builders. Thank you for you time and help","The sentence """""" if i want start with `npm run start`. `ERROR in Cannot read property 'kind' of undefined` """""" uses <pattern>ERROR in</pattern> to indicate that the user is getting something wrong. The answer is YES.","The sentence """""" I think the problem is custom Angular builders. """""" uses <pattern>think VB</pattern> to indicate that the user is probably certain that the cause of the problem is ""custom Angular builders"". The answer is YES.","The sentence """""" I get now this error if i want start with `npm run start`. `ERROR in Cannot read property 'kind' of undefined`. On `ng build --prod` i get more details: with typescript 4.1.5 i get again this error: `ERROR in Cannot read property 'flags' of undefined`. """""" uses <pattern>get error</pattern> to indicate that there is something wrong. The answer is YES.",0,0,0,0,0,1
angular,"I have an input and an output. However if I try to connect them, the output does not work anymore: [code]. internaly, it is: [code]. Any ideas?","The sentence """""" if I try to connect them, the output does not work anymore """""" uses <pattern>sth does not work</pattern> to indicate that the output is not working anymore. The answer is YES.","The sentence """""" the output does not work anymore """""" uses <pattern>sth does not work anymore</pattern> to indicate that ""the output"" is not working after something was done. The answer is YES.","The sentence """""" the output does not work anymore """""" uses <pattern>sth does not work anymore</pattern> to indicate that there is something wrong with the output. The answer is YES.",0,0,0,0,0,1
angular,Hi ! i'm trying to compare between two texts and display colored text result in a simple div or textarea (i first tried using mat-dialog) but i don't get the colors in HTML in component.ts : [code]. anyone have an idea where is the problem in my code or what to should I add please ?,"The sentence """""" i don't get the colors in HTML in component.ts """""" uses <pattern>don't VB</pattern> to indicate that there is something wrong with ""getting colors"". The answer is YES.","The sentence """""" i don't get the colors in HTML in component.ts : [code]. """""" uses <pattern>don't get sth</pattern> to indicate that there is something wrong with ""get the colors in HTML in component.ts"". The answer is YES.","The sentence """""" but i don't get the colors in HTML in component.ts """""" uses <pattern>don't get NN in NN</pattern> to indicate that there is something wrong with displaying ""colors in HTML in component.ts"". The answer is YES.",0,0,0,0,0,1
,"Hey, why am unable to use the angular material? If i imports any material module, it gives errors everywhere on my code once i declare any of its components. Just errors everywhere","The sentence """""" it gives errors everywhere on my code once i declare any of its components """""" uses <pattern>gives errors</pattern> to indicate that there is something wrong with the angular material. The answer is YES.","The sentence """""" it gives errors everywhere on my code once i declare any of its components. """""" uses <pattern>it gives errors everywhere</pattern> to indicate that ""using angular material"" is causing something wrong. The answer is YES.","The sentence """""" it gives errors everywhere on my code once i declare any of its components """""" uses <pattern>give errors everywhere once VB</pattern> to indicate that there is something wrong when the user ""imports any material module"". The answer is YES.",0,0,0,0,0,1
angular,"Hey guys, I got this error "" The pipe 'async' could not be found "" i tried everything, i check that i have the common module imported, any ideia when this error happen besides the missing common module? thanks in advance!","The sentence """""" I got this error "" The pipe 'async' could not be found "" """""" uses <pattern>got this error</pattern> to indicate that the user is getting an error. The answer is YES.","The sentence """""" i got this error "" The pipe 'async' could not be found "" """""" uses <pattern>got this error</pattern> to indicate that the user is having trouble with the error "" The pipe 'async' could not be found "". The answer is YES.","The sentence """""" i tried everything, i check that i have the common module imported, any ideia when this error happen besides the missing common module? """""" uses <pattern>any idea</pattern> to indicate that the user is having troubles ""using the pipe 'async'"". The answer is YES.",0,0,0,0,0,1
angular,"There's a form in the child component, can we give a warning to the user when the form is filled but the user is try to navigate somewhere else? User is clicking on the sidenav in the parent component. A warning like this <unconvertable>.",No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1,1,1,1
angular,"I have a challenge that I'd like to get yalls insight. I've received much help from here and I greatly appreciate it. Thanks in advance. I am building a web app for used car dealers. In the used car dealer world, there are many many reports and forms they are required to print. Right now, I am working on the first report: Buyers Guide. The Buyers Guide has some information regarding the vehicle. The gov provides a PDF fillable form here: (no, this is not spam). I'd like to be able to fill out the form with the data from our web app and print out the PDF. I was looking for packages and found this one. The only thing is that we want to store the report somewhere, we don't want the user to have to upload it. Additionally, I guess I just don't know how to set up this package. My question: has anyone ever done this, and if so, how?",No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1,0,1,0
angular,"Hello, this isn't 100% angular question, I just need to deploy Angular app with nginx alongside and express ejs app but It seems not to work, this is my nginx config : [code].","The sentence """""" It seems not to work """""" uses <pattern>seems not to VB</pattern> to indicate that the user is getting something wrong. The answer is YES.",No sentences found to indicate the error or undesired behavior. The answer is NO.,"The sentence """""" this is my nginx config : [code]. """""" uses <pattern>this is NN : code</pattern> but this is just providing an example instead of describing the error or undesired behavior, so the answer is NO.",0,1,1,0,1,0
angular,"I have a REST endpoint that takes ages to run completely (it validates all active tickets on a user and each validation takes ~500ms) so I decided to output the result of the validation of each ticket. That works just fine, when running the request manually in Chrome I get a steady stream of objects in the browser. But now I want to retrieve that data in our Angular application. Any idea how I can do that? HttpClient doesn't seem to support streaming data from the server.","The sentence """""" I have a REST endpoint that takes ages to run completely """""" uses <pattern>takes ages to VB</pattern> to indicate that the REST endpoint is not efficient. The answer is YES.","The sentence """""" I have a REST endpoint that takes ages to run completely (it validates all active tickets on a user and each validation takes ~500ms) """""" uses <pattern>takes ages to VB</pattern> to indicate that ""the REST endpoint takes ages to run completely"" is an undesired behavior. The answer is YES.","The sentence """""" I have a REST endpoint that takes ages to run completely """""" uses <pattern>take ages to VB</pattern> to indicate that ""endpoint"" is taking too much time. The answer is YES.",0,0,0,0,0,1
angular,"I have xml with href to xsl from backend , how can i display this in browser [code]. window.document.write just shows text without styling",No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,"The sentence """""" window.document.write just shows text without styling """""" uses <pattern>without NNS</pattern> to indicate that the user is getting something wrong about styling with ""window.document.write"". The answer is YES.",1,1,0,0,1,0
angular,"Hey, I have a question concerning Injectable's ProvidedIn. [code] > The @Injectable() decorator specifies that Angular can use this class in the DI system. The metadata, providedIn: 'root', means that the HeroService is visible throughout the application. What if I take that away? I thought I had to pass injectables to a component constructors to be able to use them, I'm unclear about this now",No sentences found to indicate the error or undesired behavior. The answer is NO.,"The sentence """""" What if I take that away? I thought I had to pass injectables to a component constructors to be able to use them, I'm unclear about this now """""" uses <pattern>I'm unclear about this now</pattern> to indicate that there is something wrong with ""I thought I had to pass injectables to a component constructors to be able to use them"". The answer is YES.","The sentence """""" I thought I had to pass injectables to a component constructors to be able to use them, I'm unclear about this now """""" uses <pattern>I'm unclear about this</pattern> to indicate that the user has given the information they know and they are asking for help. The answer is YES.",1,0,0,0,0,1
angular,I have a problem where the angular material breakpoints are not enough to control the appearance of my app because some mobile phones have much larger resolutions than what the breakpoints associate with handset devices. How can I fix this?,"The sentence """""" the angular material breakpoints are not enough to control the appearance of my app because some mobile phones have much larger resolutions than what the breakpoints associate with handset devices """""" uses <pattern>sth is not enough to VB</pattern> to indicate that ""the angular material breakpoints"" is not behaving as expected. The answer is YES.","The sentence """""" the angular material breakpoints are not enough to control the appearance of my app """""" uses <pattern>sth is not enough to VB</pattern> to indicate that ""the angular material breakpoints"" is not good enough. The answer is YES.","The sentence """""" some mobile phones have much larger resolutions than what the breakpoints associate with handset devices """""" uses <pattern>much larger resolutions .. than .. VB</pattern> to indicate that ""some mobile phones have much larger resolutions"" is an undesired result. The answer is YES.",0,0,0,0,0,1
angular,"why router.events,subscribe fires multiple times. i cant get only one say NavigationEnd its. I'm sending params through router state, and after navigating i want to execute search only once with params from state how to do this??","The sentence """""" why router.events,subscribe fires multiple times. i cant get only one say NavigationEnd its. """""" uses <pattern>cant get only one NN</pattern> to indicate that the user is having trouble ""get only one NavigationEnd"". The answer is YES.","The sentence """""" why router.events,subscribe fires multiple times. """""" uses <pattern>fires multiple times</pattern> to indicate that ""router.events,subscribe"" is firing multiple times which is undesired. The answer is YES.","The sentence """""" why router.events,subscribe fires multiple times """""" uses <pattern>why sth VB</pattern> to indicate that ""router.events,subscribe fires multiple times"" is an undesired behavior. The answer is YES.",0,0,0,0,0,1
angular,I'm looking for a android mobile app - open source or commerical to search huge pdfs - i found one for IOS but couldn't find one for android. Can anyone suggest me ??? Is there is any software or template or mobile app does this for android,No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1,0,1,0
,"Hi Guyz, I am implementing NGRX basic demo but i am getting error in reducer part. any leads?","The sentence """""" I am getting error in reducer part """""" uses <pattern>getting error in NN</pattern> to indicate that ""getting error"" is an undesired behavior. The answer is YES.","The sentence """""" I am getting error in reducer part. """""" uses <pattern>getting error</pattern> to indicate that the user is getting something wrong in ""reducer part"". The answer is YES.","The sentence """""" I am getting error in reducer part """""" uses <pattern>getting error</pattern> to indicate that the user is getting an error in ""reducer"". The answer is YES.",0,0,0,0,0,1
,Hello. Here is my [question] about angular testing example. I will be happy if anyone could answer me :smile:,No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1,1,1,1
,"Anyone knows why `this.router.navigate(['../../'], { relativeTo: this.activatedRoute })` lands always at root instead of two path segments up? Also: why is this.activatedRoute.url=""""? Oh, I guess I found out - it's bc. it is injected into a service...","The sentence """""" this.router.navigate(['../../'], { relativeTo: this.activatedRoute })` lands always at root instead of two path segments up? """""" uses <pattern>lands always at VB</pattern> to indicate that the user is having trouble ""lands always at root instead of two path segments up"". The answer is YES.","The sentence """""" this.router.navigate(['../../'], { relativeTo: this.activatedRoute }) lands always at root instead of two path segments up """""" uses <pattern>sth lands at sth instead of sth</pattern> to indicate that ""this.router.navigate"" is behaving unexpectedly. The answer is YES.","The sentence """""" Anyone knows why `this.router.navigate(['../../'], { relativeTo: this.activatedRoute })` lands always at root instead of two path segments up? """""" uses <pattern>why</pattern> to indicate that the user is having trouble with ""this.router.navigate(['../../'], { relativeTo: this.activatedRoute })"". The answer is YES.",0,0,0,0,0,1
angular,"Hello Angular gods, we have an autocomplete on an input (angular app), which makes an api call to our back end, problem is we make a new subscription each time the input change, is there any way to correct this ?","The sentence """""" problem is we make a new subscription each time the input change """""" uses <pattern>problem is VB</pattern> to indicate that the user is having trouble ""make a new subscription each time"". The answer is YES.","The sentence """""" is there any way to correct this ? """""" uses <pattern>is there any way to correct VB</pattern> to indicate that the current behavior is undesired and the user is asking for a solution. The answer is YES.","The sentence """""" problem is we make a new subscription each time the input change, """""" uses <pattern>problem is</pattern> to indicate that ""make a new subscription each time the input change"" is a problem. The answer is YES.",0,0,0,0,0,1
angular,Hi guys i have problem with resolver and guard Should i prefetch data on guard since it the first being called? i have a guard that check if has permission to view a certain element. but when the page reloads data is gone and i need to prefetch the data,"The sentence """""" when the page reloads data is gone and i need to prefetch the data """""" uses <pattern>data is gone</pattern> to indicate that the user is having trouble with ""data"". The answer is YES.",No sentences found to indicate the error or undesired behavior. The answer is NO.,"The sentence """""" when the page reloads data is gone """""" uses <pattern>sth is gone</pattern> to indicate that ""data is gone"" is an undesired behavior. The answer is YES.",0,1,0,0,0,1
,"Morning! I am having a bit of an issue with a nested component when running tests in a headless browser (and only then) :( I have outlined the issue, with associated code snippets over on Stack Overflow. If anyone has any ideas of what I've done wrong, please steer me in the right direction! Thanks so much :)","The sentence """""" I am having a bit of an issue with a nested component when running tests """""" uses <pattern>having a bit of issue with sth</pattern> to indicate that the user is getting something wrong with ""issue with a nested component"". The answer is YES.","The sentence """""" I am having a bit of an issue with a nested component when running tests in a headless browser (and only then) :("""""" uses <pattern>having .. issue</pattern> to indicate that the user is running into trouble with ""nested component"". The answer is YES.","The sentence """""" I am having a bit of an issue with a nested component when running tests in a headless browser """""" uses <pattern>having issue VBG</pattern> to indicate that there is a problem with the component. The answer is YES.",0,0,0,0,0,1
angular,"I need help with an issue. Basically I have two angular applications where I am including this angular library served as npm package. This library contains components with template files. There are image assets that have been refered to, from the components of library. Image assets are also included in the library project. While building this library, somehow Image assets are not getting included in the final build. Is there any one who can help me with this. I am ready to share more information on this.","The sentence """""" Image assets are not getting included in the final build. """""" uses <pattern>NN are not getting VB</pattern> to indicate that there is something wrong with ""Image assets"" getting included. The answer is YES.","The sentence """""" Image assets are not getting included in the final build. """""" uses <pattern>not getting VBG</pattern> to indicate that something wrong happened when ""building this library"". The answer is YES.","The sentence """""" Image assets are not getting included in the final build. """""" uses <pattern>sth are not getting VBG</pattern> to indicate that there is something wrong with image assets. The answer is YES.",0,0,0,0,0,1
,"Hi guys, I'm actually looking for some help from Currently I have started working on a new company and just realized that the project's code has so many bad practices, I have just seen that they are using Async ngOnInit() Does anyone of you have some reference that this is a bad practice so I can let them know that this is a bad practice ?","The sentence """""" I have just seen that they are using Async ngOnInit() """""" uses <pattern>using VBG</pattern> to indicate that ""using Async ngOnInit()"" is a bad practice. The answer is YES.","The sentence """""" Does anyone of you have some reference that this is a bad practice so I can let them know that this is a bad practice ? """""" uses <pattern>is a bad practice</pattern> to indicate that ""using Async ngOnInit()"" is a bad practice. The answer is YES.","The sentence """""" I have just seen that they are using Async ngOnInit() """""" uses <pattern>using VBG</pattern> to indicate that ""using Async ngOnInit()"" is a bad practice. The answer is YES.",0,0,0,0,0,1
angular,"Hi everyone, I am trying to implement a custom input and I get this error: ""NG0201: No provider for DefaultValueAccessor found in. this is how is my component: [code]. any idea?","The sentence """""" I get this error: ""NG0201: No provider for DefaultValueAccessor found in. """""" uses <pattern>get error</pattern> to indicate that there is something wrong with the custom input. The answer is YES.","The sentence """""" I get this error: ""NG0201: No provider for DefaultValueAccessor found in """""" uses <pattern>get this error</pattern> to indicate that the user is getting an error. The answer is YES.","The sentence """""" I get this error: ""NG0201: No provider for DefaultValueAccessor found in. """""" uses <pattern>I get this error</pattern> to indicate that there is an error when implementing the custom input. The answer is YES.",0,0,0,0,0,1
angular,I'm using .Net Core SPA Angular. I have an external IdentityServer. How do I protect the downloading of the Angular app itself and then provide it an access token to the API after? I've searched for so long for the right answer to this. but I stiiiiiiiiiiiiiiiiiiillll haven't fouuuuuund what I'm looking fooooooor,"The sentence """""" but I stiiiiiiiiiiiiiiiiiiillll haven't fouuuuuund what I'm looking fooooooor """""" uses <pattern>still haven't VBD VB</pattern> to indicate that the user is still having trouble finding an answer. The answer is YES.","The sentence """""" I stiiiiiiiiiiiiiiiiiiillll haven't fouuuuuund what I'm looking foooooooor """""" uses <pattern>still haven't VBP</pattern> and <pattern>not VBN</pattern> to indicate that the user's expectation is not met. The answer is YES.","The sentence """""" I've searched for so long for the right answer to this. """""" uses <pattern>searched for so long</pattern> to indicate that the user is having trouble ""protect the downloading of the Angular app itself and then provide it an access token to the API after"". The answer is YES.",0,0,0,0,0,1
angular,"can someone help me with node.js error. on building npm run serve ERROR Failed to compile with 1 error in Module parse failed: Unexpected token (2413:45) You may need an appropriate loader to handle this file type, currently no loaders are configured to process this file.","The sentence """""" ERROR Failed to compile with 1 error in Module parse failed: Unexpected token (2413:45) """""" uses <pattern>Failed to compile with 1 error</pattern> and <pattern>Module parse failed</pattern> to indicate the specific error occurred when the user is building using ""npm run serve"". The answer is YES.","The sentence """""" ERROR Failed to compile with 1 error in Module parse failed: Unexpected token (2413:45) """""" uses <pattern>Error NN</pattern> to indicate that an error occurred when building. The answer is YES.","The sentence """""" ERROR Failed to compile with 1 error in Module parse failed """""" uses <pattern>error in NN</pattern> to indicate that the user is getting an error while ""building npm run serve"". The answer is YES.",0,0,0,0,0,1
angular,"I have a service that subscribes to an observable. The service is providedBy: 'root'. It should takeUntil service is deystroyed. I get this pattern, but does it make any difference since the singleton is being destroyed, ie. the app is closed?",No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1,0,1,0
angular,"Hello everyone, I apologize if this question is asked before, but is there any way I can try **tree-shakable components** out? I have read some articles here: [link] , but I think I need to wait for next release.",No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1,1,1,1
angular,"hi all.. it is possible to pass a method/function via *ngTemplateOutlet which can be called in ng-template? if I pass it as context: {myMethod: componentMethod} and call it in ng-template, it doesn't work. how? let me provide an example really quick","The sentence """""" it doesn't work """""" uses <pattern>doesn't work</pattern> to indicate that there is something wrong. The answer is YES.","The sentence """""" it doesn't work """""" uses a negated verb <pattern>doesn't work</pattern> to indicate that there is something wrong. The answer is YES.","The sentence """""" it doesn't work """""" uses <pattern>it doesn't work</pattern> to indicate that there is an error or undesired behavior. The answer is YES.",0,0,0,0,0,1
angular,"I have another issue: ) so I have module A which has service MyService, I want to be able to override MyService in module B. If I override it (provides: []) in root module, it works. but I cannot override it in module B (and to work for whole application). I have created forRoot in module B that overrides MyService with MyServiceB, but it doesn't work. no actually, it doesnt matter.. it just has to be MyServiceB.. so the one I set to override. let me provide a quick example :)","The sentence """""" it doesn't work """""" uses <pattern>it doesn't work</pattern> to indicate that the user is having trouble ""override MyService in module B"". The answer is YES.","The sentence """""" but it doesn't work """""" uses <pattern>doesn't work</pattern> to indicate that there is something wrong when ""override MyService in module B"". The answer is YES.","The sentence """""" it doesn't work """""" uses <pattern>doesn't work</pattern> but it is only used for describing the override of MyService in module B instead of describing the error or undesired behavior, so the answer is NO.",0,0,1,0,0,1
angular,"Hello, there. I'm facing the following error while trying to navigate to sub-child routes: Refused to apply style from [link] because its MIME type ('text/html') is not a supported stylesheet MIME type, and strict MIME checking is enabled The styles don't apply to the sub-child components. Looking forward to your help.","The sentence """""" The styles don't apply to the sub-child components. """""" uses <pattern>don't VB</pattern> to indicate that the style is not applying to the sub-child components. The answer is YES.","The sentence """""" The styles don't apply to the sub-child components """""" uses <pattern>sth doesn't VB to NP</pattern> to indicate that ""The styles"" not applying to the sub-child components is an undesired behavior. The answer is YES.","The sentence """""" The styles don't apply to the sub-child components """""" uses <pattern>don't VB</pattern> to indicate that ""The styles"" is not as expected or desired by the user. The answer is YES.",0,0,0,0,0,1
,"I'm having an strange issue. I've imported FormsModule, but for some reason still getting the ""NG8002: Can't bind to 'ngModel' since it isn't a known property of 'input'."" The application is making use of the ModuleFederation concept. Any ideas?","The sentence """""" I'm having an strange issue. I've imported FormsModule, but for some reason still getting the ""NG8002: Can't bind to 'ngModel' since it isn't a known property of 'input'."" """""" uses <pattern>having an strange issue</pattern> to indicate that the user is having trouble with ""ngModel"". The answer is YES.","The sentence """""" I'm having an strange issue. I've imported FormsModule, but for some reason still getting the ""NG8002: Can't bind to 'ngModel' since it isn't a known property of 'input'."" """""" uses <pattern>getting error message</pattern> to indicate that the user is having trouble ""bind to 'ngModel'"". The answer is YES.","The sentence """""" for some reason still getting the ""NG8002: Can't bind to 'ngModel' since it isn't a known property of 'input'."" """""" uses <pattern>still getting VBG</pattern> to indicate that the undesired behavior is still happening, which is ""getting the 'NG8002: Can't bind to 'ngModel' since it isn't a known property of 'input'."" The answer is YES.",0,0,0,0,0,1
angular,"Hello. Is there any way to create multiple components with one line ? [code] instead of my-page, I would like to create my-page, my-page1, my-page2, etc...",No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,"The sentence """""" instead of my-page, I would like to create my-page, my-page1, my-page2, etc... """""" uses <pattern>instead of sth, sth</pattern> to indicate that the current behavior ""my-page"" is not what the user wants. The answer is YES.",1,1,0,1,1,1
angular,"what's purpose of `loadChildren` and `children` ? and how to lazy load child routes. Can you help me ? One example, if I have `investor` feature module, and in that feature module I will have 10 different pages",No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1,1,1,1
