Pattern,issue,output,1_example,2_examples,5_examples,6_examples,12_examples,14_examples
PS_NO_NOUN,""""""" Oooph. So I narrowed down my previous Firebase issue to the smallest scope I can... and I'm at a loss. Is there something special about 'some' event listener callbacks that prevents Angular/ReactiveX from seeing changes that are initiated within them? Even though I have a behaviorSubject calling next(updatedData), no update will occur until a heartbeat 'window.setInterval' ticks over. Even if there is literally no code within the interval's callback. """"""",The answer is YES.,0,0,1,1,1,1
PS_WITH_NO,""""""" I have been trying to download the block chain for 10 days. computer has been on for then days with no sucess. this is riduclous. i have send ethereum to a account connected to this mist. it still says that i have 0 ether.........im quessing because the chain is not downloaded......... this is a on going issue. it is sad because this is the main platform. i have not experienced any other issues with second party applications. if anybody has any advice for me please shar share """"""",The answer is YES.,0,0,0,0,1,1
PS_VERB_NO,""""""" Hi, is there any way to detect no router change? I mean situation when user click the same routerLink he is allready in i would like to implement some monkeyPatch for forcing angular 4 router to reinitialize route """"""",The answer is NO.,0,0,0,0,0,0
PS_NEG_ADV_ADJ,""""""" Any idea on how to provider a service to two different lazy loaded modules in the best way? It is funny in some places (stackeroverflow) guys are saying that having services in a shared module is bad practice and others say it is the right way :D """"""",The answer is NO.,0,0,0,0,0,0
PS_PROBLEM,""""""" Question about Observables: If I have Observable A, and things are subscribed to it, is there a way to take Observable B and merge it into A so that all of As subscriptions are notified of the elements in B? """"""",The answer is NO.,0,0,0,0,0,0
PS_WITH_NO,""""""" so far, the examples related to sequences deal with texts of natural languages (with known delimiters), whereas there are other kind of sequences like DNA sequences, protein sequences with no delimiters. Can you please recommend me the closest example to my issue, to start from. """"""",The answer is NO.,0,0,0,0,1,0
PS_NEG_AUX_VERB,""""""" Hi guys, what is the next step after [<-LINK->] ? deep net for classification, prediction, sentiment analysis, yes but how to ? Only available examples do it by using already separated positive/negative data. Can't we use google Word2Vec file (1.5Go) to do that ? """"""",The answer is NO.,0,0,0,0,0,0
PS_ONLY,""""""" Does anyone know of a way to determine if a type could also refer to a value?  That is, if the type is of a Class, then do one conditional type branch, and if it is only an Interface or primitive then it will use the other branch. """"""",The answer is NO.,0,0,0,1,0,0
PS_NEG_AUX_ADV_ADJ,""""""" I'm buying bitcoin from someone via Localbitcoin, my aim is like@Swinks95, I want to leave the ether I get in for a while, maybe a  couple of years/months, not sure yet. I was going to change the bitcoin I buy to ether via shapeshift.io. do you know if that  site is reliable? I have solarpanels on my roof!! Haha maybe I'll wait till some point in the future if  it's not so rewarding """"""",The answer is NO.,0,0,0,0,0,0
PS_NO_NOUN,""""""" Anyone could shared some lights on config dp4j run on GPU with sbt? I see the document here: [<-LINK->] It says I should change <nd4j.backend>nd4j-native-platform</nd4j.backend> under the properties in POM.xml. So no configuration is needed? """"""",The answer is NO.,0,0,0,0,0,1
PS_VERB_ERROR,""""""" Hi everyone, does anyone know how to get the mat-error and mat-hit animations? I have made a custom the mat-error and mat-hint like elements and would like to animate them exactly as in material. Thank you. """"""",The answer is NO.,0,0,0,0,0,0
PS_NEG_VERB,""""""" Are there performance gains to be had by breaking up a medium size component template into many smaller components w/ inputs for their relevant pieces of data? I understand the organizational benefits of having small, laser-focused components, I'm just on the fence about how granular I should be getting. """"""",The answer is NO.,0,0,0,0,0,0
,""""""" Is it possible te map users in docker-compose? I have a container that runs aswww-data and I'd like to map this user to my local user so the container can edit files in my workspace """"""",The answer is NO.,0,1,0,0,0,1
,""""""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """"""",The answer is NO.,0,0,0,0,1,0
