Pattern,issue1,output1,issue2,output2,issue3,output3,1_example,2_examples,3_examples,4_examples,5_examples,6_examples,7_examples,8_examples
PS_NOT_IN,"Question: """""" Working on setting up our data store to use ngRx entity but having an issue because of the way the data needs to be set up for use...currently am getting data back in this format: [{id: 1, amount: 5}, {id: 2, amount: 7}] but for ngRx entity it appears to need the data in the following format: [ 0: {id: 1, amount: 5}, 1: {id: 2, amount: 7}] .  Since changing every stored procedure/ controller on the backend is not in the cards to enable this change, is there a way to map this properly on the front end when the data comes back before it tries to use it via ngRx entity? """"""
Answer: ","The sentence """""" Since changing every stored procedure/ controller on the backend is not in the cards to enable this change """""" uses <pattern>is not in sth</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" I am moving from Java and .Net on the backend too looking at Node with an Angular 2 front end. Since I am planning on using the Angular CLI, Webpack package. Has anyone integrated this template with the server side, connect to a database and provide a descent example? instead of having the ngFor on its own element, have you placed it as a attribute on the other elements? So it is not in the resulting DOM structure which interferes with the CSS """"""
Answer: ","The sentence """""" So it is not in the resulting DOM structure which interferes with the CSS """""" uses <pattern>is not in sth</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" How to use Canova? On the website, it says ""Download our latest release at: [Coming Soon]"" I got problem building ND4J  [<-LINK->] AlexDBlack: I have installed both VisualStudio 2010 and 2012 on my win7, and tried to repair 2012, but cl.exe is not in the system path. Just here, [<-LINK->] Installation note chrisvnicholson: can you solve my ND4J build problem? """"""
Answer: ","The sentence """""" but cl.exe is not in the system path. """""" uses <pattern>is not in sth</pattern> to describe the problem which the user is currently encountering. The answer is YES.",0,0,0,0,0,1,1,0
PS_NO_NOUN,"Question: """""" Oooph. So I narrowed down my previous Firebase issue to the smallest scope I can... and I'm at a loss. Is there something special about 'some' event listener callbacks that prevents Angular/ReactiveX from seeing changes that are initiated within them? Even though I have a behaviorSubject calling next(updatedData), no update will occur until a heartbeat 'window.setInterval' ticks over. Even if there is literally no code within the interval's callback.  (  ) """"""
Answer: ","The sentence """""" no update will occur until a heartbeat 'window.setInterval' ticks over """""" uses <pattern>no NN will VB</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" Hi all, I have a question regarding @Outputs and EventEmitters. Would it be future-safe to use Observables as @Outputs rather than EventEmitters or is it still recommended to use only EventEmitters? I believe the EventEmitter was created to allow later changes to the API that deviated from Subject, but afaia nothing has really happened on that front. """"""
Answer: ","The sentence """""" but afaia nothing has really happened on that front. """""" uses <pattern>notthing has really VBN</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" hey guys, is it possible to wrap around the angular material button ? normally its like <button mat-button> Some Text </button> but i want an own component extending it, like <app-button> Some Text </app-button>. I created an component which extends MatButton and added the angular mat-button template to it. but it's not working cause it has no button element because it is app-button... """"""
Answer: ","The sentence """""" but it's not working cause it has no button element because it is app-button """""" uses <pattern>has no NN</pattern> to describe the problem which the user is currently encountering. The answer is YES.",0,0,0,0,1,1,0,0
PS_NEG_AUX_ADV_ADJ,"Question: """""" roychri: , can you help me out with sessions. How can I add a variable into session variable which will be available during whole session. Seems like my session variable is getting refreshed when I access any link. Here is my app.js [<-LINK->] roychri: , it's here [<-LINK->] line 23 roychri: , the data variable that added, is not available in other routes. roychri: ok. Let me have a look again Thanks """"""
Answer: ","The sentence """""" the data variable that added, is not available in other routes. """""" uses <pattern>not available in sth</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" Hello guys, How can I represent a type, that is not assignable to another type? Like T extends U, but in reverse way I know there is no ""T not extends U"" so how can I do that And I can't use the false branch of the conditional types in my context """"""
Answer: ","The sentence """""" that is not assignable to another type """""" uses <pattern>not assignable to sth</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" Hi All,  i have a trained LSTM serving in production. while doing prediction continously using ""model.output(input)"" suddenly massive amounts of threads are getting created ending up in restarting the server. I am not able to trace the reason. Please enlight me on this Thread counts are suddenly spiking from 100's to 1000's for very few seconds """"""
Answer: ","The sentence """""" I am not able to trace the reason. """""" uses <pattern>not able to VB</pattern> to describe the problem which the user is currently encountering. The answer is YES.",0,0,0,0,0,1,0,0
PS_SEEMS_TO_NEG_VERB,"Question: """""" I'm trying to type-guard on a discriminant property with Array.prototype.includes but that doesn't seem to work (2.8.1), didn't find anything searching through the issue tracker. Here is a gist of the principle [<-LINK->] """"""
Answer: ","The sentence """""" I'm trying to type-guard on a discriminant property with Array.prototype.includes but that doesn't seem to work (2.8.1) """""" uses <pattern>doesn't seem to VB</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" can someone help me with a higher order component? I can't seem to pass my props down. It seems like setState property is missing thanks! [<-CODE->] and then I would use it with a Dashboard component [<-CODE->] I added some <any>s cause I was unsure of myself, but it was more strongly typed before I went down the rabbit hole Additionally, I had tried [<-CODE->] """"""
Answer: ","The sentence """""" I can't seem to pass my props down. """""" uses <pattern>can't seem to VB</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" I'm in the middle of figuring out my own macro system lol  [<-LINK->]. it works so well for expanding macros and giving me info about each expansion. But my brain can't seem to process how to use the info to trace text ranges through the expansion. Recursion is probably fucking with my brain. There's one more layer of expansion I have to map out. I'm so immature  [<-LINK->] I giggled at that line of code  [<-LINK->] """"""
Answer: ","The sentence """""" But my brain can't seem to process how to use the info to trace text ranges through the expansion. """""" uses <pattern>can't seem to VB</pattern> to describe the problem which the user is currently encountering. The answer is YES.",0,0,0,1,0,1,0,0
PS_NEG_ADV_ADJ,"Question: """""" Anyone good with git? I'm getting some weird behavior and I can't quite make sense of it. when I do git rebase -i HEAD~3, it shows the commits in this order:  ``` commit 1 commit 2 commit 3 ```. I would expect it to be: ``` commit 3 commit 2 commit 1 ``` """"""
Answer: ","The sentence """""" I'm getting some weird behavior and I can't quite make sense of it. """""" uses an undesired adjective <pattern>weird</pattern> to indicate that the user is getting something wrong. The answer is YES.","Question: """""" I am unable to align column using jspdf. Will you please guide what should I modify in this code?  """"""
Answer: ","The sentence """""" I am unable to align column using jspdf. """""" uses <pattern>be unable to VB</pattern> to indicate that the user is getting something wrong. The answer is YES.","Question: """""" Could anyone help me explain why the following code seems correct, though to me it seems like it's not? [<-CODE->] returning a string here compiles and runs though I tell it that it should be a void method SalathielGenese: that's exactly my point, the code is wrong but it doesn't give me an error to me it seems like a bug  """"""
Answer: ","The sentence """""" the code is wrong but it doesn't give me an error to me it seems like a bug """""" uses an undesired adjective <pattern>wrong</pattern> to indicate that there is something wrong with the code. The answer is YES.",0,0,0,1,0,1,0,0
PS_VERB_ERROR,"Question: """""" Hi, i new here and i'm workin in some app with angular when execute the application show me this error  ""You provided an invalid object where a stream was expected"". You can provide an Observable, Promise, Array, or Iterable. any ideas ? """"""
Answer: ","The sentence """""" i new here and i'm workin in some app with angular when execute the application show me this error """""" uses <pattern>VB PRP this error</pattern> to show the error which the user is currently encountering. The answer is YES.","Question: """""" hey guys sorry for raising question here but if somebody can help me out. I am trying to read a json file and checking whether a key is present or not if key present the its value will be returned.  But i am getting error ""cannot read property 'data' of undefined . my json file """"""
Answer: ","The sentence """""" But i am getting error """""" uses <pattern>VBG error</pattern> to show the error which the user is currently encountering. The answer is YES.","Question: """""" I've downloaded the BLAS libraries and I've set the path according to: [<-LINK->]. but when I run the DL4j examples I got the warning that BLAS is not installed.  How can I activate BLAS ? if you train the network for a specific problem the DL4J will save the net parameters to work with them later ? """"""
Answer: ","The sentence """""" but when I run the DL4j examples I got the warning that BLAS is not installed. """""" uses <pattern>VBP the warning that</pattern> to show the error which the user is currently encountering. The answer is YES.",0,0,0,0,1,0,0,0
PS_NEG_AUX_VERB,"Question: """""" The ethereum wallet isn't finishing downloading.. Does anyone have this problem also? Stuck at Downloading block 892,148 of 4,637,826,Downloading chain structure 3,297,848 of 3,325,840 Any advice? Maybe I do need to put my laptop under the crane? XD Okay the running water was the fix. THANKS! """"""
Answer: ","The sentence """""" The ethereum wallet isn't finishing downloading. """""" uses <pattern>sth isn't finishing VBG</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" Hi, I think there might be a problem in MovingWindowDataSetFetcher. It calls MovingWindowMatrix.windows with flattened and addRotate both set to true. However, I think this causes a problem since a flattened matrix can't be rotated because it fails the isMatrix test. Am i mistaken? """"""
Answer: ","The sentence """""" I think this causes a problem since a flattened matrix can't be rotated because it fails the isMatrix test. """""" uses <pattern>sth can't be VBN</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" hello, i have a problem with named router-outlet, i need to add dialogs in a named router-outlet, but as i heard from github/angular, i can't use lazy loaded modules with auxiliary routes. Is there a way to do that now? """"""
Answer: ","The sentence """""" i can't use lazy loaded modules with auxiliary routes. """""" uses <pattern>i can't VB</pattern> to describe the problem which the user is currently encountering. The answer is YES.",0,0,0,0,1,0,0,0
PS_VERB_NO,"Question: """""" any ideas on how i may be able to find the circular dependency? i tried adding the `--verbose` flag to the ng build command but that didn't really help tried using this tool [link], but it reports no circular dependencies. i've also looked through the code and nothing really stands out """"""
Answer: ","The sentence """"""  but it reports no circular dependencies. """""" uses <pattern>reports no JJ NNS</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" Hey, just wondering who I should contact for problems with BTC to ETH transactions in my Ethereum wallet? Basically, I ordered 0.1 Ethereum via Bitcoin in my Ethereum wallet (0.8.9) yesterday. Although the bitcoin transaction was confirmed several hours ago (and currently stands with 36 confirmations), I'm still seeing 0 Ethers in my account. Crab29: Hey, do you have any idea what's happening? """"""
Answer: ","The sentence """"""  I'm still seeing 0 Ethers in my account. """""" uses <pattern>seeing 0 NNS</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" hey - can i get some n00b help. I have the following message ""[ts] Cannot invoke an expression whose type lacks a call signature. Type 'Action<any, any>' has no compatible call signatures."" but cant wrap my head around whats going on """"""
Answer: ","The sentence """"""  Type 'Action<any, any>' has no compatible call signatures """""" uses <pattern>has no JJ NN</pattern> to describe the problem which the user is currently encountering. The answer is YES.",0,0,1,0,0,0,0,0
PS_END_UP,"Question: """""" Hi All,  i have a trained LSTM serving in production. while doing prediction continously using ""model.output(input)"" suddenly massive amounts of threads are getting created ending up in restarting the server. I am not able to trace the reason. Please enlight me on this Thread counts are suddenly spiking from 100's to 1000's for very few seconds """"""
Answer: ","The sentence """""" suddenly massive amounts of threads are getting created ending up in restarting the server """""" uses <pattern>ending up in VBG</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" Is there a way to find out what modules aren't used in an ngModule to do some clean up ? I@msonawanecheck rxdb I only played with it but it seemed cool [<-LINK->] Yeah well, it\'s that or something that is less ""reactive"" PouchDB, but then you might end up with something like rxdb. And how did you find dexie ? Did it work well with angular ? In my case I neede """"""
Answer: ","The sentence """""" but then you might end up with something like rxdb. """""" uses <pattern>end up with something</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" hello - have you ever noticed that propagation of the BehaviourSubject works faster than pushing a new value through Input? - here's an example:  (the console). I had a use case similar to this and ended up with passing a value through another BehaviorSubject to the child instead of passing it through Input """"""
Answer: ","The sentence """""" I had a use case similar to this and ended up with passing a value through another BehaviorSubject to the child instead of passing it through Input """""" uses <pattern>ended up with VBG</pattern> to describe the problem which the user is currently encountering. The answer is YES.",0,0,1,0,0,0,0,0
PS_BUT_RB,"Question: """""" i have now made a new project, in which I've added the mentioned dependency together with a property declartion for the version number and then downloaded nd4s via maven, but it still gives me the same error message for the same code. How do you mean run nd4s? """"""
Answer: ","The sentence """""" but it still gives me the same error message for the same code. """""" uses <pattern>but it still VBZ</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" guys, i have some problem. i build example with facebook login on my website, but i always get error has been block by cors.  i using seperate folder 1. client folder & 2. server folder.  i testing  on my server with running node.js on localhost:3000 and live-server for client on 127.0.0.1:8080. on server i using passport-facebook and i already instal cors(). i already test on postman to facebook login on localhost:3000. but i can't get using on client folder where my folder index.html.  on index.html i using vuejs and axios for Promise based HTTP client for the browser and node.js """"""
Answer: ","The sentence """""" but i always get error has been block by cors. """""" uses <pattern>but i always VBP</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" Hello! I am having an issue in production (Apache server) Namely, my login form reopens, and ""?"" gets appended to the URL... I managed to get rid of the ""?"" mark by putting some dreictives in .htaccess, but still i can see ""?"" is being added when looked in console. What is going on here? """"""
Answer: ","The sentence """""" but still i can see ""?"" is being added when looked in console. """""" uses <pattern>but still i can VB</pattern> to describe the problem which the user is currently encountering. The answer is YES.",0,1,0,0,0,0,0,0
