issue,output
""""""" How are Angular Components recognized and bootstrapped? I have a thirdparty js library which is manipulating the DOM inside of a component and I would like child components to be recognized and registered (as well as removed cleanly). """"""","The sentence """""" I have a thirdparty js library which is manipulating the DOM inside of a component and I would like child components to be recognized and registered (as well as removed cleanly) """""" uses <pattern>would like sth. to be VBN</pattern> to describe the user's expectation. The answer is YES."
""""""" Is there a way I can force Angular's dependency injector to create a new instance of a service every time it's injected? I know I could just specify it as a provider on every component that uses it, but this is for a library and I'd like to be able to hide that detail from users """"""","The sentence """""" Is there a way I can force Angular's dependency injector to create a new instance of a service every time it's injected? """""" uses <pattern>is there a way I can VB</pattern> to describe the user's expectation. The answer is YES."
""""""" Hi, is there any way to detect no router change? I mean situation when user click the same routerLink he is allready in i would like to implement some monkeyPatch for forcing angular 4 router to reinitialize route """"""","The sentence """""" is there any way to detect no router change? """""" uses <pattern>is there a way to VB</pattern> to describe the user's expectation. The answer is YES."
""""""" Does anyone know how to always use the route relative to the **current** URL?  for example, in this stackblitz [-LINK-] I have 3 routes, root which renders the Home component, /dashboard which renders the Dashboard component and /dashboard/items which renders the items component - I have a component with links to those routes  The problem is the following, the items link is being calculated as /items (from the root, not relative to the current route). So if you visit /dashboard and then click on items, it breaks.  What I'd like to do is be able to visit /dashboard and then click on items and it would redirect me to the relative /items route (making the route /dashboard/items) """"""","The sentence """""" What I'd like to do is be able to visit /dashboard and then click on items and it would redirect me to the relative /items route (making the route /dashboard/items) """""" uses <pattern>would like to VB</pattern> to describe the user's expectation. The answer is YES."
""""""" Is it possible to modify what happens when `ng generate component` is run? I'd like to modify the command to create a different spec file when run instead of making users do that step with a second command... """"""","The sentence """""" Is it possible to modify what happens when `ng generate component` is run? """""" uses <pattern>is it possible to VB</pattern> to describe the user's expectation. The answer is YES."
""""""" Hi, I'm having trouble with cryptic error messages from the router. Wonder if anyone could help. My app has two components  wich contain child routes. For one of the components the routing works fine. For the other, when I navigate to the detail component, the router throws the error : Error: Component ""ContentDetail"" has no route config. After painstakingly  going through the configuration of the two components several times, I cannot  find any difference  f I cannot find any difference between the two configs. Has anybody some experience  with errors related to child routing? """"""",No sentences found to indicate the user's expectation The answer is NO.
""""""" Hi...in Beta.9 there has been support for outlets in dynamic components. I  have made a demo here  where the component is been loaded dynamically and has an outlet. But it is not working as expected.Somebody please suggest me how to make outlet work for dynamic components """"""",No sentences found to indicate the user's expectation The answer is NO.
""""""" I'm having trouble with radio buttons. I have two radio buttons using the same name and [(ngModel)]=""value"". When I select a button, I get an error:angular2-polyfills.js:267 Uncaught EXCEPTION: Error during evaluation of ""change""ORIGINAL EXCEPTION: TypeError: Cannot read property \'value\' of undefined. I couldn't find any definitive answers for using radio buttons with ngModel. """""" 
Answer: ",No sentences found to indicate the user's expectation The answer is NO.
""""""" Since the SystemJS Gitter seems to be deserted at the moment I am trying my luck here. When importing a global resource (non module) the DOM seems not to be patched simply by callingimport ""xyz"". This differs from the behavior when ascripttag is used.Does any1 have some insights into this ? """"""",No sentences found to indicate the user's expectation The answer is NO.
""""""" Does anyone know where find how to do interface injection? Tried something like providers: [provide(IEngine, {useClass: Engine})], but have strange Zone-related error ('IEngine is not defined`, however IEngine defined upper). I have strong feeling that I am doing something wrong :) """"""",No sentences found to indicate the user's expectation The answer is NO.
""""""" XMLHttpRequest cannot load  . Response to preflight request doesn't pass access control check: No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin '  ' is therefore not allowed access. The response had HTTP status code 401 I can do post but not get request why? """"""",No sentences found to indicate the user's expectation The answer is NO.
""""""" Can someone help me to implement a very very simple AJAX call in ng-2? I've put up a form which connects to my JSP file that runs on tomcat apache, get data from there and show it in a div inside my angular2 component's html file. Simple, no frills. But not wokring. """"""",No sentences found to indicate the user's expectation The answer is NO.
""""""" anybody deal with safari and gzipping? On chrome/firefox, it appears to get the gzipped file, but on Safari it seems to be receiving the uncompressed file. I've got my complete app down to 180KB, but it's transferring like 1MB in Safari :( . Using express server. """"""",No sentences found to indicate the user's expectation The answer is NO.
""""""" I am getting the strangest error, I have everything configured as shown in the angular quick start.  I keep getting this error GET [-LINK-] 404 (Not Found) Why does it add src/metadata/directives to the end? """"""",No sentences found to indicate the user's expectation The answer is NO.
""""""" Hi guys, a quick question: how to use global SCSS variables in angular2? I've created a shared 'vars.scss' file, but know I had to import in every single component to have it avaliable? I hope there's a better solution """"""","The sentence """""" but know I had to import in every single component to have it avaliable? """""" uses <pattern>I had to VB</pattern> to describe the user's expectation. The answer is YES."
